index,symbol,trade_date,volume,price,volatility,spx_beta,market_cap,avg_market_size,primary_route,industry_group
0,AAAU US,2019-02-26,16529.0,13.26,7.328,-0.00370246670299,104.09,13361.7502395,ARCA,
1,AABA US,2019-02-26,3613271.0,74.03,21.12,0.933910135558,44825.77,1001.8089245,NASDAQ,
2,AAC US,2019-02-26,191276.0,3.09,102.2272,0.804987425135,76.02,680.119731,NYSE,Healthcare-Services
3,AADR US,2019-02-26,9643.0,46.4428,14.72,0.204731769401,104.5,717.319935,ARCA,
4,AAL US,2019-02-26,5496575.0,35.9,31.0912,1.39323599402,16121.09,1255.464883,NASDAQ,Airlines
5,AAMC US,2019-02-26,661.0,39.0,121.6064,-0.452658140104,63.69,162.0038925,AMEX,Diversified Finan Serv
6,AAME US,2019-02-26,1399.0,2.85,90.9696,0.127029090556,57.57,363.618856,NASDAQ,Insurance
7,AAN US,2019-02-26,585810.0,54.23,41.9648,1.10986731345,3644.41,176.425842,NYSE,Commercial Services
8,AAOI US,2019-02-26,1202627.0,16.805,62.9056,1.48314782035,332.72,344.360694,NASDAQ,Electronics
9,AAON US,2019-02-26,85692.0,42.28,31.7632,1.05267302166,2202.56,174.018203,NASDAQ,Building Materials
10,AAPL US,2019-02-26,18138061.0,174.23,19.8848,1.1596071471,821543.23,473.865831,NASDAQ,Computers
11,AAP US,2019-02-26,1033635.0,157.71,33.0368,0.795889009419,11303.1,171.518602,NYSE,Retail
12,AAT US,2019-02-26,112436.0,43.39,18.9824,0.489307472456,2053.45,156.765315,NYSE,REITS
13,AA US,2019-02-26,3166608.0,30.78,38.464,1.31105692369,5740.29,588.0057795,NYSE,Mining
14,AAU US,2019-02-26,186110.0,0.6711,63.0016,0.201940980268,74.92,1462.933078,AMEX,Mining
15,AAWW US,2019-02-26,226969.0,55.51,41.344,1.34343378541,1429.33,151.619351,NASDAQ,Transportation
16,AAXJ US,2019-02-26,747805.0,70.82,10.2016,0.665567444434,4674.12,1194.178864,NASDAQ,
17,AAXN US,2019-02-26,313423.0,58.05,32.4928,1.14055789421,3413.97,183.9279845,NASDAQ,Miscellaneous Manufactur
18,ABB US,2019-02-26,3096051.0,20.34,13.3504,0.712044284649,44100.14,5766.153582,NYSE,Machinery-Constr&Mining
19,ABBV US,2019-02-26,4519639.0,80.29,24.032,0.847108307765,120773.53,340.6503625,NYSE,Pharmaceuticals
20,ABCB US,2019-02-26,290027.0,41.55,27.5648,0.983639006766,1973.74,162.1897465,NASDAQ,Banks
21,ABC US,2019-02-26,679548.0,84.67,23.2064,0.905403921269,17872.98,180.7497005,NYSE,Pharmaceuticals
22,ABDC US,2019-02-26,29342.0,7.06,35.3088,0.180154385667,95.43,716.027393,NASDAQ,Investment Companies
23,ABEO US,2019-02-26,268144.0,7.33,66.7712,1.24777683891,351.43,521.028858,NASDAQ,Biotechnology
24,ABEV US,2019-02-26,23675784.0,4.85,25.8816,0.683570770797,76252.41,145665.910651,NYSE,Beverages
25,ABG US,2019-02-26,141458.0,70.78,33.9136,0.836398597452,1387.4,129.017763,NYSE,Retail
26,ABIL US,2019-02-26,91289.0,1.87,75.9232,0.572798921971,12.6,890.2958375,NASDAQ,Aerospace/Defense
27,ABIO US,2019-02-26,134453.0,0.435,135.0528,0.234242183563,6.06,3165.178132,NASDAQ,Biotechnology
28,ABMD US,2019-02-26,248437.0,352.89,40.2752,1.38664763299,15910.33,133.080624,NASDAQ,Healthcare-Products
29,ABM US,2019-02-26,247763.0,36.55,28.608,1.0327406137,2419.98,203.7369925,NYSE,Commercial Services
30,ABR US,2019-02-26,1200632.0,13.06,19.936,0.598143718617,1384.51,1221.4080725,NYSE,REITS
31,ABT US,2019-02-26,4572438.0,76.86,19.456,1.02901375559,135002.3,433.0211235,NYSE,Healthcare-Products
32,ABTX US,2019-02-26,51648.0,37.95,26.784,0.64577470233,832.55,229.8666915,NASDAQ,Banks
33,AB US,2019-02-26,420925.0,29.27,25.2288,0.813455067007,2829.19,328.726577,NYSE,Diversified Finan Serv
34,ABUS US,2019-02-26,98926.0,4.03,73.856,1.32569892495,223.57,834.8301675,NASDAQ,Biotechnology
35,ACAD US,2019-02-26,1214688.0,23.75,44.0896,1.45241062332,3411.12,340.6621835,NASDAQ,Biotechnology
36,ACA US,2019-02-26,211819.0,31.42,39.6352,0.636837380156,1532.22,278.818754,NYSE,Engineering&Construction
37,ACBI US,2019-02-26,73905.0,19.39,28.7872,0.526884808858,490.38,179.241865,NASDAQ,Banks
38,ACB US,2019-02-26,17880400.0,7.29,65.7088,1.17431747914,7276.02,12314.372079,NYSE,Pharmaceuticals
39,ACCO US,2019-02-26,548751.0,9.29,36.2816,1.14105565295,954.45,827.4912145,NYSE,Household Products/Wares
40,ACC US,2019-02-26,1011976.0,44.84,20.9344,0.353361256601,6144.49,307.356413,NYSE,REITS
41,ACER US,2019-02-26,23075.0,23.5,58.9632,0.426774116329,236.25,394.812605,NASDAQ,Biotechnology
42,ACES US,2019-02-26,5102.0,27.0943,19.3984,0.0888275491342,27.09,345.929258,BATS,
43,ACET US,2019-02-26,889386.0,0.2399,145.7344,0.722144514141,7.4,2047.2483675,NASDAQ,Chemicals
44,ACGL US,2019-02-26,989964.0,32.26,17.8624,0.733518021853,12983.19,585.543735,NASDAQ,Insurance
45,ACHC US,2019-02-26,725004.0,27.85,35.232,1.02682465903,2457.93,243.7360415,NASDAQ,Healthcare-Services
46,ACHN US,2019-02-26,861330.0,2.62,72.4608,1.56477848104,363.17,3905.108051,NASDAQ,Biotechnology
47,ACH US,2019-02-26,31172.0,10.2,24.1408,0.613954958136,8375.93,453.613282,NYSE,Mining
