index,symbol,trade_date,volume,price,volatility,spx_beta,market_cap,avg_market_size,primary_route,industry_group
0,AAAU US,2019-04-30,12704.0,12.78,6.0032,-0.047931084485,106.07,13309.641798,ARCA,
1,AABA US,2019-04-30,2883349.0,75.99,17.9328,1.18435839396,46012.57,754.1451745,NASDAQ,
2,AAC US,2019-04-30,228200.0,1.72,106.272,2.04875038555,42.45,1750.8724525,NYSE,Healthcare-Services
3,AADR US,2019-04-30,9900.0,46.17,9.824,0.167528340159,107.35,453.301773,ARCA,
4,AAL US,2019-04-30,3461528.0,33.77,25.5552,1.1178847068,15022.08,749.9168265,NASDAQ,Airlines
5,AAMC US,2019-04-30,299.0,28.175,96.7424,-0.0942213562804,44.65,174.5049955,AMEX,Diversified Finan Serv
6,AAME US,2019-04-30,2352.0,2.44,81.9072,-0.422876769382,49.18,604.2357255,NASDAQ,Insurance
7,AAN US,2019-04-30,273485.0,56.36,38.7072,1.50336086811,3814.3,157.740465,NYSE,Commercial Services
8,AAOI US,2019-04-30,554065.0,12.44,48.576,1.86999648877,247.41,365.228186,NASDAQ,Electronics
9,AAON US,2019-04-30,105988.0,50.09,28.0192,1.81789568318,2608.25,162.1562635,NASDAQ,Building Materials
10,AAPL US,2019-04-30,18628276.0,204.61,15.0656,1.29998673558,964793.44,463.1880905,NASDAQ,Computers
11,AAP US,2019-04-30,772926.0,166.77,22.592,0.955175476104,11960.34,145.5071845,NYSE,Retail
12,AAT US,2019-04-30,168180.0,46.21,15.9552,0.470620837942,2218.37,151.4368385,NYSE,REITS
13,AA US,2019-04-30,4177044.0,26.85,31.7696,1.72282551821,4981.12,604.2766245,NYSE,Mining
14,AAU US,2019-04-30,89365.0,0.5171,48.1792,0.0789521220883,57.77,4332.3297005,AMEX,Mining
15,AAWW US,2019-04-30,138143.0,48.92,32.992,1.66352280803,1264.68,158.9142095,NASDAQ,Transportation
16,AAXJ US,2019-04-30,823750.0,72.4,7.0336,0.77148905476,4575.68,2502.1252245,NASDAQ,
17,AAXN US,2019-04-30,335129.0,63.37,29.2864,2.03718110729,3746.23,168.9512495,NASDAQ,Miscellaneous Manufactur
18,ABB US,2019-04-30,1501526.0,20.57,9.8688,0.775398594571,44598.81,6676.1228575,NYSE,Electronics
19,ABBV US,2019-04-30,5913654.0,80.3,20.224,1.12693795087,118696.63,347.062958,NYSE,Pharmaceuticals
20,ABCB US,2019-04-30,171248.0,36.77,30.6752,1.53257793787,1749.71,138.99805,NASDAQ,Banks
21,ABC US,2019-04-30,1179563.0,74.51,23.2576,1.25998875193,15728.31,209.895903,NYSE,Pharmaceuticals
22,ABDC US,2019-04-30,54105.0,8.5,30.0544,0.426561696662,109.44,668.0462295,NASDAQ,Investment Companies
23,ABEO US,2019-04-30,403571.0,8.17,55.712,2.01303982347,392.92,372.364811,NASDAQ,Biotechnology
24,ABEV US,2019-04-30,18877870.0,4.68,29.2864,0.915681783935,73601.62,131775.548649,NYSE,Beverages
25,ABG US,2019-04-30,149837.0,79.67,31.2896,0.89913042042,1553.5,124.5323285,NYSE,Retail
26,ABIL US,2019-04-30,63568.0,1.43,78.176,0.00264289206505,11.5,1155.348932,NASDAQ,Aerospace/Defense
27,ABIO US,2019-04-30,40060.0,5.15,117.0112,-0.128480231357,5.25,300.299903,NASDAQ,Biotechnology
28,ABMD US,2019-04-30,643976.0,274.0,39.424,1.90401078826,12353.51,139.6701325,NASDAQ,Healthcare-Products
29,ABM US,2019-04-30,229168.0,37.85,22.2144,1.13845006683,2507.14,206.9219705,NYSE,Commercial Services
30,ABR US,2019-04-30,776655.0,13.72,13.9008,0.524438951183,1460.41,1185.143433,NYSE,REITS
31,ABT US,2019-04-30,5508962.0,78.27,17.8752,1.24819877155,137478.93,370.8860395,NYSE,Healthcare-Products
32,ABTX US,2019-04-30,53507.0,35.4,36.0192,1.28767858622,760.53,151.782474,NASDAQ,Banks
