index,symbol,trade_date,volume,price,volatility,spx_beta,market_cap,avg_market_size,primary_route,industry_group
0,AAAU US,2019-06-14,28238.5,13.44,7.9616,0.0180093163809,119.62,13507.7475157,ARCA,
1,AABA US,2019-06-14,6892727.0,66.6,23.712,1.14751417873,34599.46,560.70181125,NASDAQ,
2,AAC US,2019-06-14,480299.5,0.7431,138.432,1.12510683899,18.8,1200.8178095,NYSE,Healthcare-Services
3,AADR US,2019-06-14,6397.5,48.418,13.0432,0.147583733666,105.31,498.79836375,ARCA,
4,AAL US,2019-06-14,4840953.5,33.09,29.632,1.38572088503,14719.59,1023.581036,NASDAQ,Airlines
5,AAMC US,2019-06-14,6579.0,14.0,133.376,1.33973912174,22.25,226.515511,AMEX,Diversified Finan Serv
6,AAME US,2019-06-14,432.0,2.37,70.4128,-0.152525847984,47.74,845.1311395,NASDAQ,Insurance
7,AAN US,2019-06-14,480450.5,61.07,30.7904,1.19611606089,4133.06,178.3417705,NYSE,Commercial Services
8,AAOI US,2019-06-14,354344.0,8.94,48.0256,1.3756480252,178.26,337.6028515,NASDAQ,Electronics
9,AAON US,2019-06-14,81141.0,48.98,31.808,1.432879492,2552.61,153.0671165,NASDAQ,Building Materials
10,AAPL US,2019-06-14,23120741.5,194.15,21.2672,1.4269358336,893298.71,365.67196725,NASDAQ,Computers
11,AAP US,2019-06-14,890269.0,150.61,24.928,0.875090073115,10804.29,149.50316075,NYSE,Retail
12,AAT US,2019-06-14,190655.0,46.18,20.5312,0.690167633618,2697.46,157.31015925,NYSE,REITS
13,AA US,2019-06-14,2902989.0,21.8,31.36,1.13566344056,4044.66,470.0894065,NYSE,Mining
14,AAU US,2019-06-14,195407.0,0.5099,64.1024,0.12551085731,56.97,1740.55602525,AMEX,Mining
15,AAWW US,2019-06-14,293285.0,42.1,36.1088,1.2943448193,1088.36,156.92420825,NASDAQ,Transportation
16,AAXJ US,2019-06-14,1055696.5,67.12,9.0368,0.698900223589,3986.93,1534.7119145,NASDAQ,
