index,symbol,trade_date,volume,price,volatility,spx_beta,market_cap,avg_market_size,primary_route,industry_group
0,AAAU US,2019-03-21,13375.0,13.1237,7.6416,0.072151196407,108.93,12967.7477748,ARCA,
1,AABA US,2019-03-21,4403027.0,73.76,18.3744,1.04174768667,44662.29,899.71691925,NASDAQ,
2,AAC US,2019-03-21,160212.0,2.31,106.3808,1.22767951599,56.83,612.39747075,NYSE,Healthcare-Services
3,AADR US,2019-03-21,10668.0,46.6102,12.9792,0.191936254607,108.37,650.39883525,ARCA,
4,AAL US,2019-03-21,5923937.5,30.96,28.8192,1.24959884579,13902.76,944.28413425,NASDAQ,Airlines
5,AAMC US,2019-03-21,2383.0,36.0,118.048,0.207057474808,57.05,160.6204815,AMEX,Diversified Finan Serv
6,AAME US,2019-03-21,1549.0,2.9,89.0688,-0.618266818187,58.58,378.8809175,NASDAQ,Insurance
7,AAN US,2019-03-21,367630.5,50.84,31.7056,0.979488063034,3416.6,175.0926325,NYSE,Commercial Services
8,AAOI US,2019-03-21,624271.0,13.44,55.3536,1.06939790372,267.22,425.24795775,NASDAQ,Electronics
9,AAON US,2019-03-21,79683.0,42.82,30.0608,1.12252751545,2225.63,154.04856725,NASDAQ,Building Materials
10,AAPL US,2019-03-21,23244539.5,188.16,16.8768,1.18451844747,887227.08,443.458484,NASDAQ,Computers
11,AAP US,2019-03-21,895162.5,164.09,30.08,0.85295939987,11764.65,177.765266,NYSE,Retail
12,AAT US,2019-03-21,176938.5,44.97,17.2864,0.485746703842,2128.23,165.7403785,NYSE,REITS
13,AA US,2019-03-21,2951143.5,28.79,35.9616,1.68712205688,5341.02,474.610849,NYSE,Mining
14,AAU US,2019-03-21,201267.5,0.6112,62.3232,0.113314759711,68.29,3103.5932565,AMEX,Mining
15,AAWW US,2019-03-21,155580.0,47.96,33.5232,1.49323512518,1234.92,144.8971945,NASDAQ,Transportation
16,AAXJ US,2019-03-21,870738.0,71.05,9.4144,0.753828335952,4547.2,1454.03663,NASDAQ,
17,AAXN US,2019-03-21,525461.5,52.65,35.4752,1.47469161825,3097.37,183.6892545,NASDAQ,Miscellaneous Manufactur
18,ABB US,2019-03-21,2107945.5,19.48,11.8848,0.777391280136,42235.53,8251.87173,NYSE,Electronics
19,ABBV US,2019-03-21,4851239.0,80.43,21.0432,0.81428304073,118640.97,360.44740425,NYSE,Pharmaceuticals
20,ABCB US,2019-03-21,265358.5,35.37,24.3136,0.906642087385,1680.04,166.04592425,NASDAQ,Banks
21,ABC US,2019-03-21,1045770.0,79.27,21.3056,0.97381466321,16733.1,201.1258595,NYSE,Pharmaceuticals
22,ABDC US,2019-03-21,37764.0,7.69,37.216,0.317288004981,99.01,654.79989825,NASDAQ,Investment Companies
23,ABEO US,2019-03-21,257149.0,7.86,62.9184,1.21459781429,376.88,457.17921025,NASDAQ,Biotechnology
24,ABEV US,2019-03-21,24076676.0,4.51,27.1872,0.95616587738,70906.88,152313.68454,NYSE,Beverages
25,ABG US,2019-03-21,120396.0,68.08,28.832,0.783188954638,1327.5,118.101399,NYSE,Retail
26,ABIL US,2019-03-21,229831.5,1.91,82.72,0.805448245004,12.87,1136.27469325,NASDAQ,Aerospace/Defense
27,ABIO US,2019-03-21,686379.0,0.42,128.3712,0.724425895741,7.71,1875.148377,NASDAQ,Biotechnology
28,ABMD US,2019-03-21,295322.5,339.66,32.896,1.33487515825,15313.84,130.73646225,NASDAQ,Healthcare-Products
29,ABM US,2019-03-21,448079.5,34.57,31.0272,0.999385055083,2289.88,253.64314675,NYSE,Commercial Services
30,ABR US,2019-03-21,732841.5,12.72,16.9728,0.54682509032,1348.47,1591.62684975,NYSE,REITS
31,ABT US,2019-03-21,4565045.5,79.94,16.4608,0.987869223176,140412.23,421.18453175,NYSE,Healthcare-Products
32,ABTX US,2019-03-21,43951.0,34.77,24.3136,0.787748332447,753.53,143.7890805,NASDAQ,Banks
33,AB US,2019-03-21,186869.0,28.84,20.4544,0.627983900095,2787.62,229.48055725,NYSE,Diversified Finan Serv
34,ABUS US,2019-03-21,106855.5,3.74,75.776,1.3856818457,209.89,553.153256,NASDAQ,Biotechnology
35,ACAD US,2019-03-21,973434.5,26.22,44.6976,1.61246892515,3772.6,259.38083325,NASDAQ,Biotechnology
36,ACAMU US,2019-03-21,5500.0,9.96,4.128,-0.0103747810556,298.8,8892.944068,NASDAQ,Holding Companies-Divers
37,ACA US,2019-03-21,193412.5,29.89,44.4864,1.04870043083,1453.67,238.6693625,NYSE,Engineering&Construction
38,ACBI US,2019-03-21,63858.0,18.08,24.7744,0.536015453696,448.78,164.041141,NASDAQ,Banks
39,ACB US,2019-03-21,50396026.0,9.81,57.4784,1.42504315256,9820.75,17528.604972,NYSE,Pharmaceuticals
40,ACCO US,2019-03-21,339368.0,8.55,31.6096,1.22912196615,872.77,689.4967015,NYSE,Household Products/Wares
41,ACC US,2019-03-21,502135.5,46.0,18.2464,0.381424055451,6303.7,290.00739725,NYSE,REITS
42,ACER US,2019-03-21,23651.5,23.75,55.8784,0.404688910319,239.57,305.42295925,NASDAQ,Biotechnology
43,ACES US,2019-03-21,5570.5,27.22534,19.6992,0.222852233954,28.71,336.642014,BATS,
44,ACET US,2019-03-21,3207067.5,0.1775,171.6416,0.618082323145,5.47,3522.2505415,NASDAQ,Chemicals
45,ACGL US,2019-03-21,662772.0,31.98,15.1424,0.761699756103,12872.9,388.18081525,NASDAQ,Insurance
46,ACHC US,2019-03-21,887122.5,30.27,38.6752,1.30514803045,2677.54,302.01438625,NASDAQ,Healthcare-Services
47,ACHN US,2019-03-21,1007603.0,2.99,67.6608,2.03574042733,414.76,2676.328567,NASDAQ,Biotechnology
48,ACH US,2019-03-21,43765.5,9.82,23.3152,0.840466703619,10106.11,324.1954845,NYSE,Mining
49,ACHV US,2019-03-21,232143.5,3.17,116.3008,0.390153888374,21.31,1327.73493125,NASDAQ,Biotechnology
50,ACIA US,2019-03-21,782690.0,55.65,36.416,1.05356947982,2240.37,198.48188475,NASDAQ,Telecommunications
51,ACIM US,2019-03-21,3835.5,78.5029,9.9712,0.246354258733,172.71,455.36133475,ARCA,
52,ACIU US,2019-03-21,170487.5,4.65,66.9888,0.859990915017,313.65,501.7457085,NASDAQ,Pharmaceuticals
53,ACIW US,2019-03-21,602944.0,32.9,25.9904,1.11261378941,3821.12,277.69314875,NASDAQ,Software
54,ACLS US,2019-03-21,134034.5,20.5,35.8144,1.42796439124,671.2,189.763844,NASDAQ,Semiconductors
55,ACMR US,2019-03-21,107597.5,15.93,74.112,0.55996434333,256.08,429.0612735,NASDAQ,Semiconductors
56,ACM US,2019-03-21,496376.5,30.02,24.6336,1.20709551214,4685.97,240.41711725,NYSE,Engineering&Construction
57,ACNB US,2019-03-21,8299.0,36.27,49.8304,0.0203906638175,255.56,250.65999025,NASDAQ,Banks
