index,symbol,trade_date,volume,price,volatility,spx_beta,market_cap,avg_market_size,primary_route,industry_group
0,AAAU US,2019-05-20,23255.5,12.76,6.7008,-0.0138728706149,105.91,13378.6466315,ARCA,
1,AABA US,2019-05-20,6314498.5,68.07,24.6336,1.28091824943,41216.94,527.70312325,NASDAQ,
2,AAC US,2019-05-20,192415.5,1.45,121.4848,0.714812718186,36.69,643.4742825,NYSE,Healthcare-Services
3,AADR US,2019-05-20,11545.5,45.05,12.3584,0.299893821646,100.24,444.710144,ARCA,
4,AAL US,2019-05-20,4312936.0,31.74,26.0736,1.37401994479,14119.07,671.3564015,NASDAQ,Airlines
5,AAMC US,2019-05-20,2322.5,21.85,104.1472,0.933510577127,34.73,256.03613425,AMEX,Diversified Finan Serv
6,AAME US,2019-05-20,294.5,2.25,72.896,-0.154196530694,45.32,138.50437275,NASDAQ,Insurance
7,AAN US,2019-05-20,489003.0,54.42,33.8368,1.33498092368,3683.01,160.75228,NYSE,Commercial Services
8,AAOI US,2019-05-20,674636.5,9.17,50.3424,1.35864448373,182.85,460.52367175,NASDAQ,Electronics
9,AAON US,2019-05-20,134199.5,45.91,33.184,1.42915993493,2392.61,166.639505,NASDAQ,Building Materials
10,AAPL US,2019-05-20,29795885.0,189.0,20.6144,1.4942579146,869603.17,363.0954475,NASDAQ,Computers
11,AAP US,2019-05-20,862388.0,157.97,22.9184,0.878390088935,11329.22,154.64232825,NYSE,Retail
12,AAT US,2019-05-20,115742.5,46.17,19.296,0.681058870655,2216.45,159.4040995,NYSE,REITS
13,AA US,2019-05-20,3240983.0,24.5,31.8016,1.13258171358,4545.6,471.94326825,NYSE,Mining
14,AAU US,2019-05-20,125724.0,0.4658,64.3712,-0.323904614541,52.04,2097.32901825,AMEX,Mining
15,AAWW US,2019-05-20,244687.5,39.9,34.3168,1.28966629933,1031.48,160.0504945,NASDAQ,Transportation
16,AAXJ US,2019-05-20,1706019.0,66.38,10.144,0.807875782024,4115.56,1332.2535035,NASDAQ,
17,AAXN US,2019-05-20,717500.0,68.0,35.4432,1.40553841754,4020.67,185.24929525,NASDAQ,Miscellaneous Manufactur
18,ABB US,2019-05-20,1919566.0,18.98,11.776,0.747897848527,41151.45,4834.96529075,NYSE,Electronics
19,ABBV US,2019-05-20,3828384.0,79.46,22.592,1.26314528637,117468.27,328.27979925,NYSE,Pharmaceuticals
20,ABCB US,2019-05-20,210986.0,35.96,30.3744,1.24590433471,1711.17,140.73999675,NASDAQ,Banks
21,ABC US,2019-05-20,1205922.0,77.73,26.2912,1.08361240536,16337.05,175.52998475,NYSE,Pharmaceuticals
22,ABDC US,2019-05-20,26103.5,8.51,25.952,0.169398065051,109.57,529.5335715,NASDAQ,Investment Companies
23,ABEO US,2019-05-20,364496.0,7.44,54.3872,1.63401335857,365.77,340.76294275,NASDAQ,Biotechnology
24,ABEV US,2019-05-20,25805306.0,4.05,27.6992,0.890754966999,63695.49,149186.652838,NYSE,Beverages
25,ABG US,2019-05-20,89087.5,78.57,28.064,0.8640452011,1524.55,127.563296,NYSE,Retail
26,ABIL US,2019-05-20,106742.0,1.3,100.256,1.19398690263,10.45,1222.47357775,NASDAQ,Aerospace/Defense
27,ABIO US,2019-05-20,321924.0,9.41,146.2336,0.288163505059,10.34,460.0391465,NASDAQ,Biotechnology
28,ABMD US,2019-05-20,654747.0,260.48,48.1216,1.76211622297,11753.64,134.12484625,NASDAQ,Healthcare-Products
29,ABM US,2019-05-20,154150.5,37.86,24.7232,1.14767418109,2507.81,170.55556975,NYSE,Commercial Services
30,ABR US,2019-05-20,1679851.5,13.1,18.24,0.718082323842,1499.16,1199.919114,NYSE,REITS
31,ABT US,2019-05-20,3509087.0,75.97,18.816,1.17952276242,134024.85,295.06145025,NYSE,Healthcare-Products
32,ABTX US,2019-05-20,63718.0,34.99,32.96,0.855175983803,746.74,166.73073475,NASDAQ,Banks
33,AB US,2019-05-20,223534.5,28.99,19.9296,0.634390417691,2753.89,271.9445095,NYSE,Diversified Finan Serv
34,ABUS US,2019-05-20,244845.5,2.4,81.2288,1.45864199095,136.44,665.2466955,NASDAQ,Biotechnology
35,ACAD US,2019-05-20,766765.5,25.03,48.544,2.22974840143,3608.47,210.925046,NASDAQ,Biotechnology
36,ACAM US,2019-05-20,7290.729,9.5,30.0,0.0527905809718,290.29,,NASDAQ,Holding Companies-Divers
37,ACAMU US,2019-05-20,8250.0,10.04,2.9824,-0.00773258791881,306.8,2349.47671775,NASDAQ,Holding Companies-Divers
38,ACA US,2019-05-20,172491.0,35.58,43.8336,1.00530290389,1720.26,240.431747,NYSE,Engineering&Construction
39,ACBI US,2019-05-20,118651.5,17.58,27.1744,0.758584704265,423.75,185.2263475,NASDAQ,Banks
40,ACB US,2019-05-20,15734255.5,8.68,40.384,1.34595595592,8826.27,18114.4235355,NYSE,Pharmaceuticals
41,ACCO US,2019-05-20,400427.0,7.91,33.44,1.06045628567,807.52,624.5530475,NYSE,Household Products/Wares
42,ACC US,2019-05-20,612342.0,46.67,16.7168,0.445755532284,6405.93,220.725595,NYSE,REITS
43,ACER US,2019-05-20,51198.0,19.12,68.416,0.675264130317,192.87,257.49627575,NASDAQ,Biotechnology
44,ACES US,2019-05-20,6412.5,28.0259,14.4576,0.223006386773,60.26,286.6654525,BATS,
45,ACGL US,2019-05-20,978985.5,33.78,15.3664,0.687709647751,13640.48,413.47804875,NASDAQ,Insurance
46,ACHC US,2019-05-20,385730.0,32.92,35.4048,1.60487395417,2920.04,186.32243575,NASDAQ,Healthcare-Services
47,ACHN US,2019-05-20,961412.0,3.06,78.8096,2.41884280316,424.5,2912.854285,NASDAQ,Biotechnology
48,ACH US,2019-05-20,67263.5,8.91,27.6544,0.667489017285,8910.39,316.1914775,NYSE,Mining
49,ACHV US,2019-05-20,170404.5,3.49,84.0704,1.50169143246,23.96,1108.382707,NASDAQ,Biotechnology
50,ACIA US,2019-05-20,786278.5,49.02,39.584,1.39674072477,1990.16,183.68343375,NASDAQ,Telecommunications
51,ACIM US,2019-05-20,4861.0,78.1666,8.3008,0.142574823373,171.97,488.41912325,ARCA,
52,ACIU US,2019-05-20,120018.0,5.09,59.1424,0.912515822693,343.89,370.10410925,NASDAQ,Pharmaceuticals
53,ACIW US,2019-05-20,710290.0,31.42,26.6304,1.35641524078,3473.9,239.97316675,NASDAQ,Software
54,ACLS US,2019-05-20,262013.5,16.5,39.8208,1.39009610996,543.55,247.506034,NASDAQ,Semiconductors
55,ACMR US,2019-05-20,137583.5,19.24,75.552,1.00190744336,309.61,279.42227625,NASDAQ,Semiconductors
56,ACM US,2019-05-20,764688.0,32.84,22.1248,1.08249705487,5167.17,239.5215,NYSE,Engineering&Construction
57,ACNB US,2019-05-20,4749.5,37.77,40.992,-0.0551469791531,266.27,225.02184225,NASDAQ,Banks
58,ACN US,2019-05-20,1684353.5,178.33,14.5152,1.02888458792,113915.81,171.03320525,NYSE,Computers
