index,symbol,trade_date,volume,price,volatility,spx_beta,market_cap,avg_market_size,primary_route,industry_group
0,AAAU US,2019-05-07,14298.0,12.78,6.7264,0.0277458905895,106.07,13466.0188052,ARCA,
1,AABA US,2019-05-07,3284519.0,76.17,19.6352,1.26193933152,46121.56,654.8684095,NASDAQ,
2,AAC US,2019-05-07,153355.0,1.97,111.0784,1.70899635528,48.62,729.06508,NYSE,Healthcare-Services
3,AADR US,2019-05-07,9325.5,45.9455,9.7728,0.263773177641,105.67,513.69085825,ARCA,
4,AAL US,2019-05-07,4708972.5,34.65,25.4976,1.24717527791,15458.02,666.67892875,NASDAQ,Airlines
5,AAMC US,2019-05-07,647.0,26.4995,98.1568,0.929656874917,41.99,175.10214525,AMEX,Diversified Finan Serv
6,AAME US,2019-05-07,852.5,2.47,78.3808,-0.470154135134,49.78,623.46377925,NASDAQ,Insurance
7,AAN US,2019-05-07,513416.5,59.21,37.4464,1.48650149158,4007.18,161.6384515,NYSE,Commercial Services
8,AAOI US,2019-05-07,447927.5,12.69,47.072,1.93428119951,252.38,369.30050875,NASDAQ,Electronics
9,AAON US,2019-05-07,108576.5,49.35,31.84,1.65557917406,2571.89,154.16795775,NASDAQ,Building Materials
10,AAPL US,2019-05-07,18489836.5,208.48,17.12,1.4483605804,959232.12,425.0644335,NASDAQ,Computers
11,AAP US,2019-05-07,784387.5,161.99,22.8928,0.953132522117,11617.53,159.52480225,NYSE,Retail
12,AAT US,2019-05-07,178720.0,46.18,18.1696,0.528637768205,2216.93,153.674726,NYSE,REITS
13,AA US,2019-05-07,3013885.0,25.91,32.2432,1.67382714588,4806.74,584.10425575,NYSE,Mining
14,AAU US,2019-05-07,89508.5,0.493,50.7264,-0.142745215435,55.08,2213.53540975,AMEX,Mining
15,AAWW US,2019-05-07,167068.0,44.95,35.744,1.42125247133,1162.03,164.401692,NASDAQ,Transportation
16,AAXJ US,2019-05-07,858546.5,71.32,8.0384,0.834398634216,4535.95,2333.70546025,NASDAQ,
17,AAXN US,2019-05-07,427305.0,65.84,28.0,1.79423190724,3892.25,166.1673915,NASDAQ,Miscellaneous Manufactur
18,ABB US,2019-05-07,1360847.5,19.59,10.3424,0.799245426896,42474.02,5013.93593,NYSE,Electronics
19,ABBV US,2019-05-07,4873664.5,79.26,19.9552,1.04883242713,117172.61,336.926605,NYSE,Pharmaceuticals
20,ABCB US,2019-05-07,323439.0,37.39,31.84,1.42316548831,1779.21,146.65384725,NASDAQ,Banks
21,ABC US,2019-05-07,1018308.5,78.31,25.1136,1.17790678731,16458.96,182.52991275,NYSE,Pharmaceuticals
22,ABDC US,2019-05-07,44737.0,8.32,28.4032,0.204713893862,107.12,598.284783,NASDAQ,Investment Companies
23,ABEO US,2019-05-07,274257.5,8.02,55.0592,1.92734038014,385.7,319.969957,NASDAQ,Biotechnology
24,ABEV US,2019-05-07,23681427.5,4.55,28.8896,1.02457707369,71559.13,124313.37583,NYSE,Beverages
25,ABG US,2019-05-07,124015.5,80.58,29.2096,0.891750775121,1571.24,129.90366475,NYSE,Retail
26,ABIL US,2019-05-07,52942.0,1.4,86.1568,0.184648691864,11.25,1102.599119,NASDAQ,Aerospace/Defense
27,ABIO US,2019-05-07,29607.5,11.38,152.4544,0.15957107817,11.6,455.3947515,NASDAQ,Biotechnology
