index,symbol,trade_date,volume,price,volatility,spx_beta,market_cap,avg_market_size,primary_route,industry_group
0,AAAU US,2019-02-06,17511.5,13.1404,8.0512,0.000202454693242,103.15,10160.3967117,ARCA,
1,AABA US,2019-02-06,4010219.0,70.05,26.24,0.951954849075,42415.85,1131.7454425,NASDAQ,
2,AAC US,2019-02-06,195781.0,2.74,122.2016,1.0152802364,67.41,1127.2505715,NYSE,Healthcare-Services
3,AADR US,2019-02-06,13056.5,44.6352,15.744,0.264763214804,103.78,607.9158705,ARCA,
4,AAL US,2019-02-06,9618955.5,36.93,39.3856,1.45990640656,17009.27,723.99535225,NASDAQ,Airlines
5,AAMC US,2019-02-06,1223.0,28.0,123.0272,-0.479957451152,45.72,199.8532775,AMEX,Diversified Finan Serv
6,AAME US,2019-02-06,2596.5,2.7,106.3936,0.0119829558673,54.54,353.630165,NASDAQ,Insurance
7,AAN US,2019-02-06,430475.0,51.25,35.1232,1.09152376751,3515.48,166.23501675,NYSE,Commercial Services
8,AAOI US,2019-02-06,513134.5,17.29,56.032,1.38831779226,342.32,280.158946,NASDAQ,Electronics
9,AAON US,2019-02-06,78597.0,37.34,36.0704,1.0378573537,1945.21,187.31846725,NASDAQ,Building Materials
10,AAPL US,2019-02-06,26645238.0,174.18,25.0048,1.17417197167,821307.47,447.18810725,NASDAQ,Computers
11,AAP US,2019-02-06,957688.0,161.46,32.1856,0.858525538906,11769.42,166.324674,NYSE,Retail
12,AAT US,2019-02-06,125268.0,43.2,21.3184,0.519662708237,2040.0,159.14689125,NYSE,REITS
13,AA US,2019-02-06,4014188.0,29.07,45.056,1.4007410433,5421.38,396.7025835,NYSE,Mining
14,AAU US,2019-02-06,128255.0,0.715,72.7232,0.116281647915,79.82,1479.11458825,AMEX,Mining
15,AAWW US,2019-02-06,266157.0,54.02,42.1696,1.25186424086,1382.39,163.4860825,NASDAQ,Transportation
16,AAXJ US,2019-02-06,1440783.0,69.76,12.1856,0.641169801965,4604.16,1302.056563,NASDAQ,
17,AAXN US,2019-02-06,302618.0,52.5,38.7648,1.12689191878,3087.57,176.4976365,NASDAQ,Miscellaneous Manufactur
18,ABB US,2019-02-06,2956455.5,19.61,15.7824,0.697320885586,42517.39,4248.8290115,NYSE,Machinery-Constr&Mining
19,ABBV US,2019-02-06,7887093.0,79.69,29.824,0.905994755653,119871.0,297.189135,NYSE,Pharmaceuticals
20,ABCB US,2019-02-06,380342.5,37.82,32.288,0.957197277464,1796.56,165.0390295,NASDAQ,Banks
21,ABC US,2019-02-06,1061387.5,85.77,27.8912,0.92405786829,18105.18,187.14374775,NYSE,Pharmaceuticals
22,ABDC US,2019-02-06,19608.5,7.66,36.4864,0.172602145792,103.54,441.8070035,NASDAQ,Investment Companies
23,ABEO US,2019-02-06,329069.0,7.23,72.224,1.408995972,346.64,433.86320025,NASDAQ,Biotechnology
24,ABEV US,2019-02-06,26396568.5,5.03,27.9872,0.680609335507,79082.4,127115.574644,NYSE,Beverages
25,ABG US,2019-02-06,85131.0,72.46,32.64,0.915188710385,1420.33,135.45121975,NYSE,Retail
26,ABIL US,2019-02-06,252122.5,1.99,94.7264,0.475214584179,13.41,1411.1601845,NASDAQ,Aerospace/Defense
27,ABIO US,2019-02-06,58750.5,0.4,116.5568,0.0354338148685,5.57,1402.912382,NASDAQ,Biotechnology
28,ABMD US,2019-02-06,380975.5,344.28,51.7312,1.51729717288,15522.14,146.5303175,NASDAQ,Healthcare-Products
29,ABM US,2019-02-06,433696.5,35.08,34.7584,1.00349573087,2316.31,224.5991185,NYSE,Commercial Services
30,ABR US,2019-02-06,801386.5,11.94,21.0432,0.5755357988,1259.8,1166.899646,NYSE,REITS
31,ABT US,2019-02-06,5173963.0,73.11,23.5008,1.06141113145,128405.51,330.98697475,NYSE,Healthcare-Products
32,ABTX US,2019-02-06,67937.0,36.55,33.5168,0.675470548752,801.83,219.51046525,NASDAQ,Banks
33,AB US,2019-02-06,286923.5,30.08,30.6304,0.874659921353,2898.9,318.51852125,NYSE,Diversified Finan Serv
34,ABUS US,2019-02-06,89188.0,3.84,81.9456,1.45426183552,213.03,515.76050475,NASDAQ,Biotechnology
35,ACAD US,2019-02-06,1234748.0,23.09,51.2256,1.48656839632,3316.32,333.57167925,NASDAQ,Biotechnology
36,ACA US,2019-02-06,142605.0,29.63,41.1264,0.652393300559,1444.93,259.0970175,NYSE,Engineering&Construction
37,ACBI US,2019-02-06,75563.5,18.64,35.7888,0.54726989973,471.41,184.3407125,NASDAQ,Banks
38,ACB US,2019-02-06,16902551.5,7.9,75.8976,1.14303449264,7884.85,6861.92009575,NYSE,Pharmaceuticals
39,ACCO US,2019-02-06,394558.5,9.08,37.4656,1.16432921386,932.88,600.04015625,NYSE,Household Products/Wares
40,ACC US,2019-02-06,774726.0,45.77,19.8848,0.374460212259,6271.93,237.586051,NYSE,REITS
41,ACER US,2019-02-06,17658.5,23.76,74.8416,0.561301202908,238.86,339.4448185,NASDAQ,Biotechnology
42,ACES US,2019-02-06,3635.0,25.82,25.12,0.078480590691,24.53,340.12098375,BATS,
43,ACET US,2019-02-06,83103.0,1.49,106.3808,0.805523913812,45.84,1440.01433625,NASDAQ,Chemicals
44,ACGL US,2019-02-06,658853.5,30.28,18.4192,0.664971181779,12255.05,370.439764,NASDAQ,Insurance
45,ACHC US,2019-02-06,792885.5,27.79,37.216,0.930667247074,2452.64,238.51205775,NASDAQ,Healthcare-Services
46,ACHN US,2019-02-06,1145867.5,2.26,84.3584,1.65700880348,313.27,3206.14336825,NASDAQ,Biotechnology
47,ACH US,2019-02-06,28527.5,9.45,28.2624,0.593682909465,7373.07,352.62403225,NYSE,Mining
48,ACHV US,2019-02-06,108884.5,1.62,128.96,0.647138708545,10.89,1073.76038125,NASDAQ,Biotechnology
49,ACIA US,2019-02-06,307732.5,42.98,40.256,0.988710236737,1738.25,185.32897375,NASDAQ,Telecommunications
50,ACIM US,2019-02-06,4876.5,76.235,19.9552,0.279075203714,167.72,400.107542,ARCA,
