index,symbol,trade_date,volume,price,volatility,spx_beta,market_cap,avg_market_size,primary_route,industry_group
0,AAAU US,2019-01-23,16100.0,12.835,9.3952,-0.00869653307449,95.62,10120.9183615,ARCA,
1,AABA US,2019-01-23,5249841.0,63.01,28.4672,1.00585813699,38153.07,981.088633,NASDAQ,
2,AAC US,2019-01-23,270998.0,2.46,127.3984,1.04141897926,60.52,862.925124,NYSE,Healthcare-Services
3,AADR US,2019-01-23,16679.0,42.2,18.5728,0.296662887265,96.01,690.9333025,ARCA,
4,AAL US,2019-01-23,6459294.0,32.74,43.1488,1.46838752091,15079.44,627.1752355,NASDAQ,Airlines
5,AAMC US,2019-01-23,2023.0,25.83,136.4544,-0.142274563308,42.18,162.946685,AMEX,Diversified Finan Serv
6,AAME US,2019-01-23,3080.0,2.51,95.8912,0.112334570656,50.7,730.73981,NASDAQ,Insurance
7,AAN US,2019-01-23,368144.0,48.14,37.9456,1.1063929216,3302.15,158.6762645,NYSE,Commercial Services
8,AAOI US,2019-01-23,421010.0,16.27,61.4848,1.441540917,322.12,260.1745015,NASDAQ,Electronics
9,AAON US,2019-01-23,68287.0,37.68,37.44,1.02503508,1962.92,151.0378035,NASDAQ,Building Materials
10,AAPL US,2019-01-23,27210821.0,153.3,25.9904,1.10768659737,725078.8,387.264393,NASDAQ,Computers
11,AAP US,2019-01-23,1154981.0,164.13,32.4288,0.872544826859,11964.05,173.090935,NYSE,Retail
12,AAT US,2019-01-23,178437.0,40.47,22.9952,0.509794577368,1911.08,159.5827895,NYSE,REITS
13,AA US,2019-01-23,3653762.0,27.81,48.8576,1.38963248398,5186.4,373.7954815,NYSE,Mining
14,AAU US,2019-01-23,220877.0,0.72,75.2256,0.01952776855,80.38,1202.285944,AMEX,Mining
15,AAWW US,2019-01-23,243065.0,50.22,45.792,1.24949087358,1285.14,160.090921,NASDAQ,Transportation
16,AAXJ US,2019-01-23,1004338.0,65.67,13.2544,0.626001016215,4334.22,1265.893151,NASDAQ,
17,AAXN US,2019-01-23,353605.0,48.7,41.6384,0.97896035417,2864.09,179.5963115,NASDAQ,Miscellaneous Manufactur
18,ABB US,2019-01-23,1683485.0,19.17,16.928,0.689815431321,41563.4,2772.726673,NYSE,Machinery-Constr&Mining
19,ABBV US,2019-01-23,5193190.0,88.66,29.9904,0.952201758026,133363.82,234.4801185,NYSE,Pharmaceuticals
20,ABCB US,2019-01-23,272385.0,35.54,35.5008,1.04294495579,1688.25,158.127612,NASDAQ,Banks
21,ABC US,2019-01-23,1242282.0,79.71,30.6368,0.954207166318,16820.83,186.7567335,NYSE,Pharmaceuticals
22,ABDC US,2019-01-23,26318.0,6.7,37.5488,0.0947490190786,90.57,1213.464195,NASDAQ,Investment Companies
23,ABEO US,2019-01-23,242433.0,6.89,71.7952,1.50687666414,330.34,330.7841965,NASDAQ,Biotechnology
24,ABEV US,2019-01-23,25439381.0,4.57,28.416,0.686005061724,71850.21,120468.426567,NYSE,Beverages
25,ABG US,2019-01-23,135460.0,70.52,35.5776,0.93233907488,1382.3,121.197958,NYSE,Retail
26,ABIL US,2019-01-23,202116.0,2.31,106.5024,0.307106459868,15.56,1559.61045,NASDAQ,Computers
27,ABIO US,2019-01-23,70497.0,0.43,117.7216,0.0803304833761,5.99,3194.2796375,NASDAQ,Biotechnology
28,ABMD US,2019-01-23,349499.0,336.13,46.2912,1.48607115534,15139.14,139.247332,NASDAQ,Healthcare-Products
29,ABM US,2019-01-23,432561.0,35.23,38.0544,0.96027779219,2326.22,204.3209055,NYSE,Commercial Services
30,ABR US,2019-01-23,661282.0,11.11,23.8464,0.590188885986,1172.23,1076.400116,NYSE,REITS
31,ABT US,2019-01-23,5203018.0,71.49,24.4224,0.988289836361,125560.25,297.436111,NYSE,Healthcare-Products
