index,symbol,trade_date,volume,price,volatility,spx_beta,market_cap,avg_market_size,primary_route,industry_group
0,AAAU US,2019-04-26,12704.0,12.755,6.1568,-0.0525225317897,105.87,13225.07509,ARCA,
1,AABA US,2019-04-26,3873442.0,76.49,18.2272,1.14131387473,46315.32,757.189956,NASDAQ,
2,AAC US,2019-04-26,206718.0,1.57,106.5856,1.91168416186,38.75,1603.099893,NYSE,Healthcare-Services
3,AADR US,2019-04-26,9207.0,45.65,10.0352,0.173427953646,106.14,503.533096,ARCA,
4,AAL US,2019-04-26,3478059.0,33.41,24.7232,1.05494049147,15002.95,763.3861835,NASDAQ,Airlines
5,AAMC US,2019-04-26,243.0,27.85,95.2256,-0.0855739740697,44.13,173.6323785,AMEX,Diversified Finan Serv
6,AAME US,2019-04-26,1906.0,2.44,80.704,-0.495697780925,49.18,511.093638,NASDAQ,Insurance
7,AAN US,2019-04-26,259066.0,59.05,35.4496,1.51597480598,3996.35,153.7830245,NYSE,Commercial Services
8,AAOI US,2019-04-26,554065.0,12.41,49.888,1.82669329643,246.81,365.228186,NASDAQ,Electronics
9,AAON US,2019-04-26,101808.0,48.7,28.128,1.74926178829,2535.87,162.1562635,NASDAQ,Building Materials
10,AAPL US,2019-04-26,18628276.0,205.28,15.5008,1.28648338486,967952.68,463.1880905,NASDAQ,Computers
11,AAP US,2019-04-26,772926.0,170.64,23.104,0.944197011426,12229.79,146.9245525,NYSE,Retail
12,AAT US,2019-04-26,168180.0,46.08,15.9616,0.492979746538,2212.13,148.9055415,NYSE,REITS
13,AA US,2019-04-26,3902345.0,27.11,32.8128,1.7246393097,5029.36,604.2766245,NYSE,Mining
14,AAU US,2019-04-26,89365.0,0.555,47.3152,-0.0294785582768,62.01,4332.3297005,AMEX,Mining
15,AAWW US,2019-04-26,176076.0,47.79,33.2672,1.67441409192,1235.47,166.5059375,NASDAQ,Transportation
16,AAXJ US,2019-04-26,823750.0,71.89,7.0272,0.742545773242,4529.07,2502.1252245,NASDAQ,
17,AAXN US,2019-04-26,335129.0,62.94,29.5872,2.03069504463,3720.81,168.9512495,NASDAQ,Miscellaneous Manufactur
18,ABB US,2019-04-26,1482427.0,20.47,9.9712,0.746660389138,44381.99,7510.528718,NYSE,Electronics
19,ABBV US,2019-04-26,5913654.0,79.34,20.1728,1.09152853599,117277.59,347.062958,NYSE,Pharmaceuticals
20,ABCB US,2019-04-26,171248.0,36.15,31.4816,1.55043583689,1720.21,135.0116115,NASDAQ,Banks
21,ABC US,2019-04-26,1319081.0,73.72,24.2112,1.2734067708,15561.55,204.191508,NYSE,Pharmaceuticals
22,ABDC US,2019-04-26,49946.0,8.15,30.08,0.347563827826,104.94,731.022357,NASDAQ,Investment Companies
23,ABEO US,2019-04-26,497459.0,8.27,57.344,1.97384460957,397.73,372.364811,NASDAQ,Biotechnology
24,ABEV US,2019-04-26,21284574.0,4.62,29.9456,0.930323821936,72658.01,136904.4256,NYSE,Beverages
25,ABG US,2019-04-26,149837.0,79.02,30.9632,0.882125619984,1540.82,124.5323285,NYSE,Retail
26,ABIL US,2019-04-26,49300.0,1.45,77.5104,0.0561895624564,9.77,1155.348932,NASDAQ,Aerospace/Defense
27,ABIO US,2019-04-26,45353.0,5.48,119.7504,0.0134568980362,5.59,311.5895025,NASDAQ,Biotechnology
28,ABMD US,2019-04-26,646677.0,268.13,40.64,1.95585069544,12088.86,144.8321265,NASDAQ,Healthcare-Products
29,ABM US,2019-04-26,198966.0,37.06,22.8672,1.16879542999,2454.82,206.6830505,NYSE,Commercial Services
30,ABR US,2019-04-26,776655.0,13.82,14.144,0.574763278175,1471.05,1331.2015405,NYSE,REITS
31,ABT US,2019-04-26,4995739.0,78.11,17.9456,1.23031179283,137197.89,404.278332,NYSE,Healthcare-Products
32,ABTX US,2019-04-26,48256.0,37.06,29.5232,1.40289327437,803.16,145.5785405,NASDAQ,Banks
