index,symbol,trade_date,volume,price,volatility,spx_beta,market_cap,avg_market_size,primary_route,industry_group
0,AAAU US,2019-06-20,30245.0,13.53,9.2544,-0.033942326285,120.42,13384.7365625,ARCA,
1,AABA US,2019-06-20,5101784.0,68.48,23.3472,1.19421308852,35576.14,564.7275985,NASDAQ,
2,AAC US,2019-06-20,461185.5,0.6716,140.896,1.1890109905,16.99,1701.8693515,NYSE,Healthcare-Services
3,AADR US,2019-06-20,4205.0,49.04,11.8464,0.148052166602,106.66,508.28190375,ARCA,
4,AAL US,2019-06-20,4657758.0,33.21,28.6784,1.41491794528,14772.97,974.998065,NASDAQ,Airlines
5,AAMC US,2019-06-20,2502.0,14.6,134.24,0.972257114633,23.2,254.757999,AMEX,Diversified Finan Serv
6,AAME US,2019-06-20,734.0,2.44,86.2464,-0.20890089989,49.15,492.4278635,NASDAQ,Insurance
7,AAN US,2019-06-20,520614.0,61.27,29.3696,1.1291322153,4146.6,178.86316525,NYSE,Commercial Services
8,AAOI US,2019-06-20,348671.0,8.79,46.9696,1.41740174924,175.27,348.9184205,NASDAQ,Electronics
9,AAON US,2019-06-20,70074.0,48.27,31.648,1.49370743316,2515.6,147.85398375,NASDAQ,Building Materials
10,AAPL US,2019-06-20,20523297.0,197.87,20.5888,1.47294633844,910414.71,378.65154225,NASDAQ,Computers
11,AAP US,2019-06-20,742783.0,153.71,23.9424,0.898151235345,11030.98,152.3302395,NYSE,Retail
12,AAT US,2019-06-20,604107.5,47.69,21.0688,0.580854207742,2785.66,195.42880075,NYSE,REITS
13,AA US,2019-06-20,2875206.5,22.4,35.7824,1.32848350107,4155.98,493.82994675,NYSE,Mining
14,AAU US,2019-06-20,170814.5,0.5401,63.1872,-0.0768485350324,60.34,2216.275941,AMEX,Mining
15,AAWW US,2019-06-20,238106.0,41.77,36.4288,1.41767794145,1079.83,153.67882325,NASDAQ,Transportation
16,AAXJ US,2019-06-20,864434.5,68.57,9.44,0.75580618565,4031.92,1405.0444255,NASDAQ,
17,AAXN US,2019-06-20,799156.0,69.9,35.552,1.07061951231,4133.01,179.892977,NASDAQ,Miscellaneous Manufactur
18,ABB US,2019-06-20,1394859.0,19.34,11.0912,0.771934645128,41931.99,7197.4029585,NYSE,Electronics
19,ABBV US,2019-06-20,3238638.0,77.61,19.9232,0.75497779368,114733.36,259.68570125,NYSE,Pharmaceuticals
20,ABCB US,2019-06-20,230024.5,38.19,26.976,1.13000164503,1817.28,144.1729295,NASDAQ,Banks
21,ABC US,2019-06-20,904464.5,86.06,23.168,0.919305175919,18087.83,179.028218,NYSE,Pharmaceuticals
22,ABDC US,2019-06-20,27623.5,8.53,24.2368,0.0710197580389,109.83,679.3992325,NASDAQ,Investment Companies
23,ABEO US,2019-06-20,353354.5,4.89,57.1968,0.538540311998,240.4,556.86520325,NASDAQ,Biotechnology
24,ABEV US,2019-06-20,16704519.0,4.75,25.44,0.719132796526,74704.59,150663.600675,NYSE,Beverages
25,ABG US,2019-06-20,95256.0,82.14,28.9984,0.907691536967,1593.82,122.6499975,NYSE,Retail
26,ABIL US,2019-06-20,59346.5,1.03,107.5136,1.11571848203,8.28,1901.54165675,NASDAQ,Aerospace/Defense
27,ABIO US,2019-06-20,95003.5,6.13,126.4448,0.697901890714,8.66,357.81852325,NASDAQ,Biotechnology
28,ABMD US,2019-06-20,474761.0,256.3,38.944,1.71232732969,11565.47,138.95321525,NASDAQ,Healthcare-Products
29,ABM US,2019-06-20,416424.0,40.0,26.08,0.960986700106,2654.31,206.49156825,NYSE,Commercial Services
30,ABR US,2019-06-20,1039056.5,12.41,18.624,0.584660317936,1420.2,2127.95275475,NYSE,REITS
31,ABT US,2019-06-20,3866797.5,84.33,16.1024,0.954464696339,148773.41,357.9011705,NYSE,Healthcare-Products
32,ABTX US,2019-06-20,57043.0,33.35,29.728,0.978048858308,711.74,161.0483965,NASDAQ,Banks
33,AB US,2019-06-20,210229.0,29.21,21.3184,0.738806417713,2774.79,336.6323835,NYSE,Diversified Finan Serv
34,ABUS US,2019-06-20,364810.5,1.72,97.2416,0.55512640064,97.78,1367.23274175,NASDAQ,Biotechnology
35,ACAD US,2019-06-20,797069.0,26.62,41.5168,1.56766400788,3837.7,234.139521,NASDAQ,Biotechnology
36,ACAMU US,2019-06-20,3834.5,10.0,2.8352,-0.00125294824902,305.57,1891.991054,NASDAQ,Holding Companies-Divers
37,ACA US,2019-06-20,379353.0,36.03,40.1664,0.769424625526,1742.02,231.30502975,NYSE,Engineering&Construction
38,ACBI US,2019-06-20,71052.5,16.95,26.944,0.768271642006,408.57,189.0738165,NASDAQ,Banks
39,ACB US,2019-06-20,9350373.5,7.48,37.8304,1.47380045446,7585.47,19312.6652055,NYSE,Pharmaceuticals
40,ACCO US,2019-06-20,445099.5,7.89,34.6624,0.967378543328,805.48,730.77346525,NYSE,Household Products/Wares
41,ACC US,2019-06-20,311313.5,47.33,15.6928,0.409689664347,6496.52,189.89797825,NYSE,REITS
42,ACER US,2019-06-20,113419.0,16.8,77.76,0.803539363372,169.47,235.97004775,NASDAQ,Biotechnology
43,ACES US,2019-06-20,3590.5,29.1115,14.4128,0.0919702071576,64.46,353.07654325,BATS,
44,ACGL US,2019-06-20,1043884.0,36.1,14.7712,0.69553023592,14577.3,475.811376,NASDAQ,Insurance
45,ACHC US,2019-06-20,652765.5,34.04,35.7056,1.17917703136,3019.39,201.39550725,NASDAQ,Healthcare-Services
46,ACHN US,2019-06-20,554691.5,2.99,57.0368,1.81305707256,414.79,2332.98838125,NASDAQ,Biotechnology
47,ACH US,2019-06-20,17124.0,8.82,23.4432,0.730030552353,8779.89,256.499372,NYSE,Mining
48,ACHV US,2019-06-20,172636.0,2.42,96.9088,0.607504266682,16.62,747.61370375,NASDAQ,Biotechnology
49,ACIA US,2019-06-20,602248.0,46.72,34.2016,1.17762862554,1896.78,177.8128725,NASDAQ,Telecommunications
50,ACIM US,2019-06-20,2786.0,79.5427,8.0,0.0278730495633,182.95,437.5608495,ARCA,
51,ACIU US,2019-06-20,91219.0,5.79,55.7952,0.488670200389,391.19,362.65671725,NASDAQ,Pharmaceuticals
52,ACIW US,2019-06-20,480087.0,32.25,22.1568,1.19850351226,3565.66,233.63141875,NASDAQ,Software
53,ACLS US,2019-06-20,151000.5,14.62,37.6256,1.61441215206,481.61,178.588885,NASDAQ,Semiconductors
54,ACMR US,2019-06-20,101441.0,17.48,67.7056,1.45016497372,281.29,182.6143325,NASDAQ,Semiconductors
55,ACM US,2019-06-20,864106.0,36.54,22.1824,1.00108726691,5749.34,425.06913725,NYSE,Engineering&Construction
56,ACNB US,2019-06-20,5887.0,37.19,46.1056,-0.129584281755,262.18,200.33975625,NASDAQ,Banks
