index,symbol,trade_date,volume,price,volatility,spx_beta,market_cap,avg_market_size,primary_route,industry_group
0,AAAU US,2019-06-28,56934.5,14.06,10.0096,-0.0289774917094,132.87,12888.6245768,ARCA,
1,AABA US,2019-06-28,4101916.0,69.97,21.5488,1.15059148052,36350.21,513.148464,NASDAQ,
2,AAC US,2019-06-28,535068.0,0.8302,142.8096,1.15132099819,21.01,652.9050995,NYSE,Healthcare-Services
3,AADR US,2019-06-28,4265.0,49.26,10.6176,0.12307612943,107.14,432.8016625,ARCA,
4,AAL US,2019-06-28,4656774.5,32.15,28.1472,1.31035735233,14301.45,959.141824,NASDAQ,Airlines
5,AAMC US,2019-06-28,2786.5,14.01,128.3904,1.12892292354,22.27,291.50059625,AMEX,Diversified Finan Serv
6,AAME US,2019-06-28,1020.0,2.48,96.9728,-0.46613017627,49.95,542.4127895,NASDAQ,Insurance
7,AAN US,2019-06-28,520256.0,60.98,28.032,1.0934455222,4126.97,173.1772335,NYSE,Commercial Services
8,AAOI US,2019-06-28,348671.0,10.56,49.3632,1.36210112357,210.56,426.695916,NASDAQ,Electronics
9,AAON US,2019-06-28,72813.0,49.52,31.2576,1.46201656683,2580.75,157.4701695,NASDAQ,Building Materials
10,AAPL US,2019-06-28,18133510.5,199.74,18.9568,1.394686942,919018.72,401.88036,NASDAQ,Computers
11,AAP US,2019-06-28,775247.0,151.71,23.7952,0.826166646315,10883.2,164.533727,NYSE,Retail
12,AAT US,2019-06-28,547189.5,46.25,20.3968,0.629095255069,2701.55,224.787555,NYSE,REITS
13,AA US,2019-06-28,2258294.5,23.13,34.5536,1.28211792616,4291.42,515.7907985,NYSE,Mining
14,AAU US,2019-06-28,182433.0,0.5937,68.2368,-0.325181216137,66.33,1901.089531,AMEX,Mining
15,AAWW US,2019-06-28,208048.0,43.6,35.0016,1.35960440765,1127.13,151.394255,NASDAQ,Transportation
16,AAXJ US,2019-06-28,837529.0,69.96,8.8128,0.753109409124,4113.65,1297.12076675,NASDAQ,
17,AAXN US,2019-06-28,989388.0,66.89,34.8288,1.06959598538,3955.03,193.7099915,NASDAQ,Miscellaneous Manufactur
18,ABB US,2019-06-28,1472433.0,19.96,10.2464,0.766328182838,43276.24,7345.01320025,NYSE,Electronics
19,ABBV US,2019-06-28,3915170.0,70.0,22.432,0.850473164789,103483.25,295.785982,NYSE,Pharmaceuticals
20,ABCB US,2019-06-28,214584.0,38.94,26.3488,1.06179659623,1852.97,140.89050275,NASDAQ,Banks
21,ABC US,2019-06-28,864567.5,85.63,22.5792,0.944371720347,17997.45,194.5949565,NYSE,Pharmaceuticals
22,ABDC US,2019-06-28,26880.5,8.39,23.168,0.110792266659,108.03,715.96633525,NASDAQ,Investment Companies
23,ABEO US,2019-06-28,894772.0,4.76,61.664,0.663088642347,234.01,691.16371125,NASDAQ,Biotechnology
24,ABEV US,2019-06-28,23367300.5,4.71,24.448,0.721725590725,74076.63,151774.313902,NYSE,Beverages
25,ABG US,2019-06-28,110599.0,83.94,28.7168,0.830383321153,1628.75,137.31531375,NYSE,Retail
26,ABIL US,2019-06-28,73332.0,0.91,104.736,0.849320367008,7.32,1437.96038775,NASDAQ,Aerospace/Defense
27,ABIO US,2019-06-28,92204.0,7.07,120.3392,0.827467690681,9.99,431.94039675,NASDAQ,Biotechnology
