,ok
0,0.005351851552671247
1,0.002547294013840359
2,0.006344945239885869
3,0.0007592666010291892
4,0.003292100634920813
5,0.003653338128788407
6,0.0038664752304912973
7,0.027749456682653027
8,0.00017658933985242295
9,0.0031073254681069145
10,0.007798808863387598
11,0.0008927885472688006
12,0.021225752286622268
13,0.021900303285778185
14,0.007372061258074588
15,0.004874993327093815
16,0.0018765611346779093
17,0.004414537642834047
18,0.04350617575295107
19,0.018308086689498355
20,0.003883773231124492
21,0.0068404000765204505
22,0.04040457281564311
23,0.008094233392826958
24,0.014301068890869023
25,0.001668666803409966
26,0.004691038008589107
27,0.003980093883261334
28,0.006641559315248169
29,0.005632626532958015
30,0.014257725149877954
31,0.01367883271085641
32,0.013384306063955565
33,0.0033001333465640854
34,0.0034174104644510085
35,0.001162159365154198
36,0.004437414162310214
37,0.016180444357152678
38,0.006756218296282016
39,0.003550325331025229
40,0.0047851728825260426
41,0.004868486503186808
42,0.0021673830009925014
43,0.0009655896343907446
44,0.004627954291332377
45,0.0009831478752036031
46,0.008648737973894673
47,0.009164917405769744
48,0.0012723677509145948
49,0.0
50,0.005100661059440271
51,0.015848978646535623
52,0.01526413977842312
53,0.006867083697381966
54,0.006044132794379093
55,0.005790887179926889
56,0.0020318000231341437
57,0.014540033967099828
58,0.007749881439778386
59,0.008625132336723101
60,0.004750538558173086
61,0.02036118352517959
62,0.00470602343592017
63,0.006567044451497983
64,0.013645496898790481
65,0.004593437873344755
66,0.007122189883069254
67,0.004648430835573893
68,0.005621828372714651
69,0.004423952291983657
70,0.008748293652317954
71,0.00762712933080947
72,0.006119299272666223
73,0.004873947228871807
74,0.010821660919616088
75,0.008073236631152024
76,0.012444140445592887
77,0.0005941097802226971
78,0.0010451155450897022
79,0.0015749533415614276
80,0.004299663704318007
81,0.01695322247203741
82,0.0035247154046106955
83,0.003449271780044735
84,0.007765935946197595
85,0.0004891136350655928
86,0.004684337392039402
87,0.004919814789459394
88,0.0018855996588322608
89,0.0015374631065418914
90,0.003735541244520297
91,0.006055323420786317
92,0.006250038048839438
93,0.008837730594189781
94,0.0030047142955826524
95,0.027109306163581242
96,0.008335566396772508
97,0.0051931913986622774
98,0.004831766837873885
99,0.0016985819365837292
100,0.009888227027001243
101,0.005399536665892897
102,0.00421399171235691
103,0.002329273821613305
104,0.008152389938863788
105,0.0019007490037678963
106,0.005684224496488053
107,0.005813643884670722
108,0.021352831388080903
109,0.0
110,0.0019246578217533505
111,0.005259250127455945
112,0.010409277710668461
113,0.030660199279013176
114,0.003982610352213619
115,0.007155787862679545
116,0.0068577222886931355
117,0.01457419058731825
118,0.020956498751958316
119,0.001826914570054892
120,0.004031140969678491
121,0.000546253950068742
122,0.0007606915135829236
123,0.005547111583603915
124,0.005344556288798291
125,0.004420513149586036
126,0.01091797251209312
127,0.009546463322246667
128,0.016988433258806404
129,0.00870570488956153
130,0.0021281703583318386
131,0.0014275739882494676
132,0.0019223935275033389
133,0.01160044133002983
134,0.008875505019707255
135,0.0023789978952900147
136,0.0029704280602814047
137,0.0014810906759755312
138,0.028424264785627554
139,0.002721138080959201
140,0.0060448880229489795
141,0.0002832121150878735
142,0.0011234869836204114
143,0.0007731467502520371
144,0.002927688359130485
145,0.01807641010269727
146,0.00531154808672516
147,0.006928280145441614
148,0.002593243590867608
149,0.002405816411948986
150,0.011372218406714422
151,0.0
152,0.008219667248310062
153,0.02660215326112271
154,0.004288220000728749
