index,trade_date,volume,price,volatility,spx_beta,market_cap,avg_market_size,primary_route,industry_group,med_spread_1,med_spread_2,med_spread_3,med_spread_4
0,2018-08-10,16512354.5,70.49,23.1424,1.61124352793,57653.21,746.410249,NASDAQ,,0.050302,0.0253123,0.0156822,0.0107052
1,2018-08-10,166571.5,9.26,63.7952,1.11171969467,227.77,280.07088325,NYSE,Healthcare-Services,0.1417063,0.0741297,0.0303703,0.0235447
2,2018-08-10,33648.0,53.2815,15.4432,0.623092952774,223.78,1061.26323025,ARCA,,0.2962833,0.1737148,0.1007836,0.0911349
3,2018-08-10,5143065.0,37.92,30.4512,1.11738305804,17462.51,552.97062675,NASDAQ,Airlines,0.02768,0.0186591,0.0104264,0.01
4,2018-08-10,970.0,69.05,89.1456,-0.293360511292,111.4,152.066902,AMEX,Diversified Finan Serv,6.76436366667,6.7328118,4.6966465,4.5098397
5,2018-08-10,1118.5,2.5,118.752,1.12713808608,50.66,1600.802098,NASDAQ,Insurance,,0.299999,0.1765454,0.25
6,2018-08-10,718979.5,47.86,37.0304,1.28131684117,3310.75,216.93654575,NYSE,Commercial Services,0.2248184,0.0977348,0.038219,0.0139762
7,2018-08-10,898127.0,40.1,57.28,2.77241522442,789.89,220.731051,NASDAQ,Electronics,0.1848286,0.1357909,0.0778309,0.0349488
8,2018-08-10,168880.0,39.3,27.392,0.576902581136,2054.01,512.0300015,NASDAQ,Building Materials,0.4014007,0.1746135,0.0845118,0.05
9,2018-08-10,23028923.0,208.15,13.6064,1.14291188449,1008874.94,478.3000305,NASDAQ,Computers,0.0236344,0.0174148,0.01168,0.0109005
10,2018-08-10,498987.0,147.79,22.0928,0.787146989595,10941.09,162.3495005,NYSE,Retail,0.3023061,0.2061763,0.0861253,0.0372782
11,2018-08-10,152424.0,38.81,18.0608,0.0952066584477,1832.69,184.5022365,NYSE,REITS,0.2463718,0.1038496,0.0358941,0.0174124
12,2018-08-10,2592609.5,42.99,33.2864,1.2799765667,8016.48,313.3910165,NYSE,Mining,0.0603314,0.0324489,0.0136816,0.0100047
13,2018-08-10,124741.5,0.66,47.0656,-0.297891277795,73.68,2145.07943275,AMEX,Mining,0.00916577777778,0.0084411,0.0082267,0.0070853
14,2018-08-10,160395.0,3.15,57.504,0.644854759586,586.53,7519.07115925,NYSE,Oil&Gas,0.0671885,0.0758549,0.0510071,0.05
15,2018-08-10,274296.0,61.675,35.392,0.829572114623,1577.34,283.757835,NASDAQ,Transportation,0.534331,0.2594177,0.1110023,0.0660149
16,2018-08-10,805240.0,72.38,8.3008,0.89869326484,4313.85,691.162287,NASDAQ,,0.0422095,0.0272949,0.0129555,0.0105898
17,2018-08-10,723219.5,59.33,50.4704,1.85612269307,3460.11,208.9405505,NASDAQ,Miscellaneous Manufactur,0.3038055,0.1972349,0.0910665,0.0370043
18,2018-08-10,8114.0,2.25,99.1488,0.250912361854,22.46,781.48703325,NASDAQ,Agriculture,,,0.0750757,
19,2018-08-10,1440277.5,22.9,10.5792,0.92307026579,49650.6,3890.15644525,NYSE,Machinery-Constr&Mining,0.01,0.01,0.01,0.01
20,2018-08-10,5522234.5,95.47,23.2832,1.11927659241,144567.61,288.49944125,NYSE,Pharmaceuticals,0.0703327,0.0364206,0.0152127,0.0107075
21,2018-08-10,484581.5,48.875,23.2256,0.866089317346,2322.47,367.3302805,NASDAQ,Banks,0.287113,0.114718,0.0569449,0.05
22,2018-08-10,113828.0,11.82,41.2224,1.2248496284,556.93,217.64217275,NASDAQ,Commercial Services,0.1859145,0.0722419,0.0376006,0.0201108
23,2018-08-10,1499293.5,83.24,25.2672,1.10518208934,18009.53,248.55762125,NYSE,Pharmaceuticals,0.1522208,0.1035392,0.038732,0.0156632
24,2018-08-10,58853.5,6.21,40.9216,-0.0576806106467,84.02,1431.30899475,NASDAQ,Investment Companies,0.07721,0.0567342857143,0.0394931,0.0367108571429
25,2018-08-10,378182.0,14.55,56.8448,1.25420642501,697.57,1189.73037925,NASDAQ,Biotechnology,0.1136601,0.0753168,0.0525556,0.05
26,2018-08-10,30791882.5,5.05,26.496,1.09151679169,79396.84,132703.003383,NYSE,Beverages,0.01,0.01,0.01,0.01
27,2018-08-10,190663.5,75.4,28.7808,1.18099525509,1534.61,236.588634,NYSE,Retail,0.4802024,0.1857093,0.1054428,0.0848347
28,2018-08-10,37770.0,5.09,154.144,1.72973333771,13.11,445.909602,NASDAQ,Computers,0.139785375,0.1170736,0.0723221,0.048431
29,2018-08-10,1027407.0,0.689,120.5952,-0.238289058125,9.59,2500.10687375,NASDAQ,Biotechnology,0.0148492,0.0109524,0.0074738,0.0091589
30,2018-08-10,828741.5,380.75,37.6256,1.54821259891,17086.98,162.0754855,NASDAQ,Healthcare-Products,1.4189792,0.9934736,0.4677879,0.1664946
31,2018-08-10,412258.5,31.17,20.8128,0.705008301672,2049.18,313.019924,NYSE,Commercial Services,0.0937191,0.0473362,0.0147117,0.01
32,2018-08-10,2043.0,25.8971,8.5952,-0.00224223422801,,848.647959,NYSE,REITS,0.418238,0.1513878,0.1312118,0.1292207
33,2018-08-10,1713.0,25.6788,2.0864,-0.00161479295412,,541.8182715,NYSE,REITS,0.14,0.149902714286,0.130958857143,0.109227142857
34,2018-08-10,1097.5,26.27,8.8192,0.0722996350378,,476.622171,NYSE,REITS,0.148500666667,0.195,0.178662375,0.152022
35,2018-08-10,1281666.0,11.46,18.88,0.0749414789851,1107.28,2050.9441285,NYSE,REITS,0.0122587,0.0106416,0.01,0.01
36,2018-08-10,3624439.5,64.64,14.0544,1.10111286646,113399.2,584.0560415,NYSE,Healthcare-Products,0.0214369,0.0113599,0.01,0.01
37,2018-08-10,18127.0,44.75,35.584,0.438684390381,598.2,246.9969605,NASDAQ,Banks,1.7429997,1.0369684,0.36095,0.250064
38,2018-08-10,377315.5,29.45,20.064,0.531394082704,2886.95,997.22189375,NYSE,Diversified Finan Serv,0.1172446,0.0668802,0.0527648,0.05
39,2018-08-10,380917.5,9.8,88.0448,1.32981921139,542.96,1273.3499675,NASDAQ,Biotechnology,0.1233218,0.0832093,0.0633576,0.0544426
40,2018-08-10,11544934.0,10.86,23.6032,0.468135876218,12672.56,21563.775332,NYSE,Mining,0.01,0.01,0.01,0.01
41,2018-08-10,1822444.5,13.91,61.8432,2.18944196964,1738.84,543.2424495,NASDAQ,Biotechnology,0.0344511,0.020216,0.0104285,0.01
42,2018-08-10,61026.0,18.15,28.3392,0.464209710455,467.56,444.57665075,NASDAQ,Banks,0.5549644,0.1343493,0.0863529,0.0675808
43,2018-08-10,589761.0,13.0,28.7808,0.911847999024,1358.35,2244.53092625,NYSE,Household Products/Wares,0.0754393,0.0573081,0.05,0.05
44,2018-08-10,575090.0,40.88,16.224,0.104503832402,5664.77,258.02937925,NYSE,REITS,0.0773947,0.0417399,0.0153241,0.01
45,2018-08-10,37065.0,29.82,108.6592,-0.54927917325,299.78,358.500137,NASDAQ,Biotechnology,1.04777366667,0.324194333333,0.7297504,0.879161142857
46,2018-08-10,648.5,26.0112,14.2464,-0.183945979624,11.71,350.748341,BATS,,0.1814584,0.1269861,0.0731131,0.0657211
47,2018-08-10,119136.0,3.26,70.5984,1.21501094349,100.37,481.096498,NASDAQ,Chemicals,0.0558961,0.0247779,0.0136908,0.0101035
48,2018-08-10,15925.5,24.45,10.0864,0.0301770953258,,438.98655225,NASDAQ,Insurance,0.1462005,0.115030333333,0.0704338,0.137797
49,2018-08-10,23523.0,23.88,5.4272,0.01472082928,,1003.29171225,NASDAQ,Insurance,0.148965,0.134811333333,0.05356775,0.0186795
50,2018-08-10,1109637.5,30.34,18.9824,0.474716447054,12296.79,522.15062325,NASDAQ,Insurance,0.1031667,0.044253,0.0126547,0.01
51,2018-08-10,670848.0,38.81,38.4768,0.475541227816,3425.93,305.5821725,NASDAQ,Healthcare-Services,0.180763,0.0705099,0.0243955,0.0146683
52,2018-08-10,625158.5,2.71,60.032,1.30472511991,375.57,1902.4366555,NASDAQ,Biotechnology,0.0148176,0.01,0.01,0.01
53,2018-08-10,64681.5,11.18,24.896,0.847939246917,7901.36,300.79959375,NYSE,Mining,0.0926422,0.0424607,0.0314269,0.0271023
54,2018-08-10,55037.0,3.12,103.5328,1.67834018347,14.2,914.79432525,NASDAQ,Biotechnology,0.10007825,0.05950475,0.0494824,0.0511927142857
55,2018-08-10,538991.5,38.54,43.104,1.96961463948,1562.8,227.57082375,NASDAQ,Telecommunications,0.1962619,0.1069284,0.0458322,0.0208883
56,2018-08-10,1733.5,80.18,18.7904,-0.0442736852065,104.23,501.6151305,ARCA,,4.6460161,0.792989,0.3014791,0.2891033
57,2018-08-10,180673.0,9.88,102.528,0.509484724662,650.72,330.60127875,NASDAQ,Pharmaceuticals,0.1589786,0.105936555556,0.0693051,0.0461342
