index,trade_date,volume,price,volatility,spx_beta,market_cap,avg_market_size,primary_route,industry_group,med_spread_1,med_spread_2,med_spread_3,med_spread_4
0,2018-10-02,15436.5,11.895,6.8288,0.123824430584,51.15,11485.0976193,ARCA,,0.01,0.01,0.01,0.01
1,2018-10-02,5553923.5,67.24,24.3392,1.7902780545,40714.37,681.901584,NASDAQ,,0.0374483,0.020543,0.0106512,0.01
2,2018-10-02,137362.0,7.42,53.3952,1.1536607576,182.51,228.639921,NYSE,Healthcare-Services,0.1156762,0.0569058,0.0270844,0.0162091
3,2018-10-02,19404.0,53.7,14.5856,0.633045404214,193.32,831.5402195,ARCA,,0.2991133,0.1434162,0.0868629,0.0695602
4,2018-10-02,5677046.5,39.61,28.736,1.22114082178,18240.77,581.06286775,NASDAQ,Airlines,0.0263653,0.0154252,0.01,0.01
5,2018-10-02,632.5,58.12,73.5936,-0.886252461488,93.76,191.15766875,AMEX,Diversified Finan Serv,6.9548214,6.8380022,4.7699188,3.7627539
6,2018-10-02,4092.0,2.48,147.0656,0.863946756795,50.22,949.98770125,NASDAQ,Insurance,0.499989,0.336117,0.23787,0.245611666667
7,2018-10-02,449211.5,54.29,26.272,1.16785973056,3755.55,182.2488585,NYSE,Commercial Services,0.2550326,0.1069548,0.0367675,0.0118887
8,2018-10-02,1161326.5,24.0,52.864,1.99942767406,472.75,312.04553475,NASDAQ,Electronics,0.1156772,0.0799254,0.0360018,0.0128672
9,2018-10-02,139271.5,36.52,26.688,0.90781020284,1908.71,356.03872575,NASDAQ,Building Materials,0.4644791,0.1675513,0.0945853,0.0657541
10,2018-10-02,23701609.5,227.26,18.432,1.74336129841,1097648.98,317.89590875,NASDAQ,Computers,0.0313778,0.0220233,0.0131282,0.011968
11,2018-10-02,789265.0,169.6,19.936,0.658576389075,12564.18,164.2273325,NYSE,Retail,0.3171389,0.1963519,0.0746494,0.0277087
12,2018-10-02,138576.0,36.96,16.0384,0.205882961117,1745.33,182.99157575,NYSE,REITS,0.1918983,0.0780659,0.029991,0.0137019
13,2018-10-02,3428539.5,40.86,30.3424,1.30845705631,7619.29,355.88709025,NYSE,Mining,0.0655156,0.029051,0.0138727,0.01
14,2018-10-02,89891.5,0.5939,72.992,-0.191922612042,66.3,1741.39989675,AMEX,Mining,0.0121728,0.013069,0.0066361,0.0071239
15,2018-10-02,200884.5,62.04,25.9392,0.967231560539,1586.68,256.32314175,NASDAQ,Transportation,0.612803,0.1986182,0.1083658,0.0706406
16,2018-10-02,725198.0,70.46,10.016,1.15869802215,3973.94,763.1285335,NASDAQ,,0.0411327,0.0239805,0.0112835,0.0100962
17,2018-10-02,539745.0,66.84,39.3728,1.94953876388,3898.09,190.90923975,NASDAQ,Miscellaneous Manufactur,0.28758,0.2005343,0.0977893,0.0298663
18,2018-10-02,18140.0,2.0,134.2912,-0.103690686677,15.97,904.9140445,NASDAQ,Agriculture,0.201165,0.200836,0.0915104,0.108489
19,2018-10-02,1489123.0,23.42,10.1504,0.877225100011,50778.03,4123.62070125,NYSE,Machinery-Constr&Mining,0.01,0.01,0.01,0.01
20,2018-10-02,3714799.5,95.0,20.0768,0.832304373941,143855.91,260.154478,NYSE,Pharmaceuticals,0.0676935,0.0388261,0.0166204,0.0108978
21,2018-10-02,231150.0,44.91,22.6624,1.23621677963,2134.06,419.64542825,NASDAQ,Banks,0.3489428,0.1076931,0.0618313,0.05
