index,trade_date,volume,price,volatility,spx_beta,market_cap,avg_market_size,primary_route,industry_group,med_spread_1,med_spread_2,med_spread_3,med_spread_4
0,2018-11-20,5455.0,12.2337,7.0976,-0.0191515021448,66.06,11890.608478,ARCA,,0.01,0.01,0.01,0.01
1,2018-11-20,4825311.0,62.22,32.512,1.20991480785,37674.72,612.24409275,NASDAQ,,0.0572183,0.0280809,0.0153952,0.0110765
2,2018-11-20,653120.0,1.97,104.032,0.409868772515,48.47,1085.47199675,NYSE,Healthcare-Services,0.0408816,0.0227956,0.0115821,0.0100371
3,2018-11-20,22145.0,44.5,19.8272,0.288391047997,143.51,648.56630025,ARCA,,0.6543764,0.2332616,0.2258757,0.2065253
4,2018-11-20,7792891.5,35.82,43.2384,1.52999573512,16498.03,586.02133275,NASDAQ,Airlines,0.0256468,0.0160383,0.0101866,0.01
5,2018-11-20,1335.5,48.88,103.0208,-0.112010266999,79.82,216.7076735,AMEX,Diversified Finan Serv,7.891284,6.3788756,4.8192379,4.1045954
6,2018-11-20,4166.5,3.05,151.6928,0.154244188909,61.61,420.58113175,NASDAQ,Insurance,0.41,0.308732,0.27573575,0.370576333333
7,2018-11-20,435361.5,48.75,40.9408,1.18626744661,3344.0,174.79480025,NYSE,Commercial Services,0.4334777,0.1454512,0.0624836,0.0189654
8,2018-11-20,1306471.5,19.69,79.008,1.64665627827,389.84,311.716663,NASDAQ,Electronics,0.108804,0.0687146,0.028731,0.0135699
9,2018-11-20,290085.5,38.96,44.1664,1.01535954469,2029.6,169.77030375,NASDAQ,Building Materials,0.5177344,0.271255,0.1100343,0.0317798
10,2018-11-20,36442741.0,185.86,26.6624,1.21513483804,881979.67,295.2322695,NASDAQ,Computers,0.0433645,0.0309711,0.022067,0.01435
11,2018-11-20,978103.0,177.75,29.1392,0.675219397784,12956.86,153.197278,NYSE,Retail,0.4342649,0.2639651,0.1197709,0.0423512
12,2018-11-20,134199.5,39.91,23.5648,0.43946252393,1884.63,165.3170065,NYSE,REITS,0.247953,0.1396135,0.0456208,0.0191497
13,2018-11-20,2756568.0,33.49,45.1008,1.45379438328,6245.69,307.50546575,NYSE,Mining,0.0782171,0.0375281,0.0171823,0.0100275
14,2018-11-20,117980.0,0.5023,76.4608,0.15315716641,56.08,1590.51055125,AMEX,Mining,0.0087123,0.008439,0.0048092,0.0062152
15,2018-11-20,167353.5,52.75,39.7056,1.22627743413,1349.89,163.5990585,NASDAQ,Transportation,1.3284389,0.4285433,0.1344077,0.0439333
16,2018-11-20,830424.5,65.14,16.1408,0.863781238025,3712.98,747.47587525,NASDAQ,,0.0424051,0.0378574,0.0210003,0.0114383
17,2018-11-20,695299.5,46.99,53.952,1.55756114516,2746.5,195.47862925,NASDAQ,Miscellaneous Manufactur,0.2219281,0.1822718,0.0951057,0.0301058
18,2018-11-20,3790.5,1.59,107.04,0.00985725197594,12.77,585.59327475,NASDAQ,Agriculture,,,0.0512283333333,
19,2018-11-20,2553992.5,19.88,16.6016,0.782851133801,43102.79,3708.77364175,NYSE,Machinery-Constr&Mining,0.01,0.01,0.01,0.01
20,2018-11-20,7217987.0,89.48,34.2528,0.911043276529,134597.28,289.77347775,NYSE,Pharmaceuticals,0.0708059,0.0422416,0.0203027,0.0125755
21,2018-11-20,224998.5,43.89,30.8672,0.925159461484,2084.82,154.88036,NASDAQ,Banks,0.6331073,0.1868033,0.0850245,0.0292371
22,2018-11-20,203179.5,14.42,20.4288,0.144016808234,682.07,2115.45828525,NASDAQ,Commercial Services,0.0265767,0.0120594,0.01,0.01
23,2018-11-20,1085690.0,90.82,35.8528,1.10791643425,19649.51,176.74580675,NYSE,Pharmaceuticals,0.1899323,0.1243902,0.06141,0.0255853
24,2018-11-20,58614.0,6.47,40.1856,0.242986789491,87.46,441.755176,NASDAQ,Investment Companies,0.07641825,0.0721708571429,0.0399611,0.0365584444444
25,2018-11-20,567320.5,7.59,99.0144,2.36715600758,363.9,459.72099175,NASDAQ,Biotechnology,0.0982844,0.0409384,0.0196499,0.01
26,2018-11-20,26041258.0,4.31,31.8464,0.817568575939,67762.45,105066.831595,NYSE,Beverages,0.01,0.01,0.01,0.01
27,2018-11-20,135587.5,69.12,37.8432,0.94768899939,1354.86,127.70445575,NYSE,Retail,0.9843843,0.593654,0.1698096,0.0500346
28,2018-11-20,30805.0,2.92,113.2032,0.0938891263663,9.65,528.12265775,NASDAQ,Computers,0.0870916666667,0.069330875,0.0690936,0.1033454
29,2018-11-20,550563.0,0.544,139.968,0.672356387179,7.57,1717.28584425,NASDAQ,Biotechnology,0.0224736,0.01756675,0.0107196,0.0142443
30,2018-11-20,672777.5,299.83,59.3472,2.00350392055,13504.2,143.91886175,NASDAQ,Healthcare-Products,2.0106198,1.500473,0.7355343,0.2536073
31,2018-11-20,279458.5,31.32,32.3008,1.17322990982,2062.48,186.0989635,NYSE,Commercial Services,0.144089,0.1056238,0.0340142,0.0168386
