index,trade_date,volume,price,volatility,spx_beta,market_cap,avg_market_size,primary_route,industry_group,med_spread_1,med_spread_2,med_spread_3,med_spread_4
0,2018-07-03,9717358.5,73.41,22.2144,1.34167066566,60557.45,694.1240255,NASDAQ,,0.0427351,0.0285604,0.0177628,0.0108661
1,2018-07-03,132595.0,9.68,51.3408,1.03482764238,238.12,286.52475,NYSE,Healthcare-Services,0.1059159,0.0492965,0.0292132,0.0193986
2,2018-07-03,31965.0,52.52,16.6592,0.677157402902,242.9,591.02742325,ARCA,,0.344826,0.2079122,0.1300706,0.0865718
3,2018-07-03,5088404.5,38.36,29.8624,1.32974656876,17958.34,491.12299525,NASDAQ,Airlines,0.0265703,0.0185194,0.010113,0.01
4,2018-07-03,1912.0,68.55,82.112,-0.246151241517,110.49,187.96849375,AMEX,Diversified Finan Serv,4.853312,4.3824997,3.6491776,3.2275838
5,2018-07-03,1978.5,2.6,117.0048,-0.401491048707,52.69,1040.08675275,NASDAQ,Insurance,0.2494915,,0.196576571429,0.176746
6,2018-07-03,495446.0,44.16,28.3264,1.04529185899,3106.43,190.3254115,NYSE,Commercial Services,0.3051112,0.0860831,0.0338336,0.0130519
7,2018-07-03,897701.5,45.98,63.4368,1.84507758946,900.24,241.8625985,NASDAQ,Electronics,0.2055292,0.1512865,0.0903264,0.0411644
8,2018-07-03,149156.5,33.95,27.04,0.781964561897,1777.7,425.22732625,NASDAQ,Building Materials,0.3911926,0.1095389,0.0769472,0.0566598
9,2018-07-03,19048878.5,187.18,14.6368,1.06999478857,920015.53,390.4570505,NASDAQ,Computers,0.0226849,0.0168358,0.0117299,0.0106796
10,2018-07-03,806735.0,134.7,27.5712,0.955015278688,9972.02,157.68693225,NYSE,Retail,0.3211437,0.1878523,0.0890871,0.0354156
11,2018-07-03,167400.5,38.22,16.608,0.305819864065,1804.12,173.42157075,NYSE,REITS,0.1664298,0.0680145,0.021483,0.0123913
12,2018-07-03,2248867.0,45.88,32.6464,1.40519883754,8554.59,280.24662075,NYSE,Mining,0.0646599,0.0398219,0.0171062,0.0106641
13,2018-07-03,66197.0,0.7016,40.16,-0.0603010799647,78.33,2657.14030875,AMEX,Mining,0.0076503,0.0070268,0.0047454,0.0038888
14,2018-07-03,93828.0,3.1,53.504,0.35922878285,577.23,9863.02717525,NYSE,Oil&Gas,0.0598874,0.0586865,0.05,0.0504832
15,2018-07-03,194704.0,72.0,32.448,1.19885746567,1840.45,215.403736,NASDAQ,Transportation,0.4435255,0.2088458,0.1209369,0.092337
16,2018-07-03,990412.5,70.78,9.8688,0.82146585335,4218.49,745.667399,NASDAQ,,0.0395237,0.025128,0.0138275,0.0112797
17,2018-07-03,670082.0,64.43,39.936,1.41501464937,3752.7,228.7220865,NASDAQ,Miscellaneous Manufactur,0.2776018,0.1513667,0.0751611,0.0257928
18,2018-07-03,20509.5,2.82,129.0496,-0.497008307648,28.15,719.96176525,NASDAQ,Agriculture,0.181862,0.165148666667,0.1222669,0.1105465
19,2018-07-03,195299.0,83.05,13.6704,0.315683483093,1899.43,251.96385075,NASDAQ,Healthcare-Products,0.1093868,0.0393607,0.0249864,0.0215201
20,2018-07-03,1544849.5,21.58,11.3344,0.817986270128,46788.64,3554.1802855,NYSE,Machinery-Constr&Mining,0.01,0.01,0.01,0.01
21,2018-07-03,4641868.5,93.11,20.5504,1.21451547713,147754.35,241.63635475,NYSE,Pharmaceuticals,0.0591062,0.0382572,0.0179868,0.0117726
22,2018-07-03,174252.0,54.3,20.256,0.744055951675,2224.73,282.612558,NASDAQ,Banks,0.2864561,0.1427863,0.089541,0.0618102
23,2018-07-03,129127.0,11.3,41.7344,1.08820764165,532.43,298.1554765,NASDAQ,Commercial Services,0.0967418,0.0411267,0.0241318,0.0165534
24,2018-07-03,827135.5,85.72,26.3488,1.0177478991,18841.6,194.63987575,NYSE,Pharmaceuticals,0.2339062,0.1202756,0.0466038,0.0199849
25,2018-07-03,46566.5,6.47,41.0432,0.0147120758596,88.55,522.5701445,NASDAQ,Investment Companies,0.126529125,0.0658934444444,0.0395486,0.0325874444444
