index,trade_date,volume,price,volatility,spx_beta,market_cap,avg_market_size,primary_route,industry_group,med_spread_1,med_spread_2,med_spread_3,med_spread_4
0,2018-08-07,14682039.0,70.89,23.8144,1.62421782435,57980.36,741.33871925,NASDAQ,,0.0502944,0.027526,0.0172597,0.0107019
1,2018-08-07,110313.5,8.75,58.2784,1.08232825994,215.22,266.0385215,NYSE,Healthcare-Services,0.1572178,0.0700114,0.0296761,0.0242335
2,2018-08-07,33033.5,52.43,16.3904,0.634520646876,220.21,973.409017,ARCA,,0.266856,0.1849989,0.0918024,0.0744467
3,2018-08-07,5677592.0,38.41,32.2304,1.12249184023,17688.16,595.59108725,NASDAQ,Airlines,0.0282815,0.0182266,0.0104264,0.01
4,2018-08-07,474.5,65.0,86.9376,-0.145825574786,104.76,171.3266165,AMEX,Diversified Finan Serv,7.023477,7.1428771,4.2908968,3.6447028
5,2018-08-07,1329.5,2.45,112.4928,0.842695455052,49.65,1526.53018925,NASDAQ,Insurance,,,0.137954333333,0.25
6,2018-08-07,794330.5,46.17,38.1312,1.30177438887,3193.85,216.93654575,NYSE,Commercial Services,0.3199155,0.0921888,0.035716,0.0136098
7,2018-08-07,865075.0,38.98,55.8208,2.58605172092,763.19,220.731051,NASDAQ,Electronics,0.1898801,0.1261068,0.0772078,0.0361291
8,2018-08-07,180490.5,38.6,27.5968,0.51513066682,2017.42,470.2059205,NASDAQ,Building Materials,0.4833701,0.1854285,0.0821312,0.05
9,2018-08-07,19652111.5,209.07,13.8624,1.15239990534,1009792.63,444.242858,NASDAQ,Computers,0.022772,0.0173237,0.0119821,0.0110499
10,2018-08-07,542984.0,145.1,22.8352,0.796467081452,10741.94,163.0465055,NYSE,Retail,0.3056393,0.1994291,0.0882022,0.0382906
11,2018-08-07,165245.0,38.75,18.5216,0.0821803939886,1829.86,178.8333605,NYSE,REITS,0.2288881,0.0968656,0.0319512,0.0151044
12,2018-08-07,3102994.5,42.72,31.8272,1.25317545029,7966.13,326.386503,NYSE,Mining,0.0560264,0.0329663,0.0126979,0.0100047
13,2018-08-07,134271.0,0.67,47.2832,-0.274844493724,74.8,2657.57280925,AMEX,Mining,0.00946444444444,0.0090623,0.0077709,0.0056498
14,2018-08-07,170244.5,3.25,57.344,0.638440291274,605.15,8183.59253325,NYSE,Oil&Gas,0.0649226,0.0686606,0.0510681,0.0536547
15,2018-08-07,276482.0,63.65,37.1648,0.922863101695,1627.85,284.13187225,NASDAQ,Transportation,0.5855825,0.2466956,0.1120957,0.0750542
16,2018-08-07,859176.5,71.29,8.576,0.8920211874,4248.88,725.6995835,NASDAQ,,0.0366666,0.0203254,0.0131102,0.0105898
17,2018-08-07,684231.0,66.86,41.2928,1.96893659659,3894.24,200.04079,NASDAQ,Miscellaneous Manufactur,0.3178087,0.1903463,0.0925998,0.0374969
18,2018-08-07,10740.5,2.24,104.5248,0.26390480672,22.36,693.437286,NASDAQ,Agriculture,,,0.0623196,
19,2018-08-07,1689615.0,22.95,10.8544,0.91572473754,49759.0,3835.2450655,NYSE,Machinery-Constr&Mining,0.01,0.01,0.01,0.01
20,2018-08-07,5677246.0,97.06,22.432,1.14124663221,146955.04,288.371938,NYSE,Pharmaceuticals,0.0685534,0.03514,0.0146649,0.0107075
21,2018-08-07,433503.0,48.8,22.9504,0.820584457665,2318.54,378.88394825,NASDAQ,Banks,0.2794009,0.1145511,0.057415,0.0513399
22,2018-08-07,148542.0,11.75,43.6864,1.20912600565,553.63,235.09054625,NASDAQ,Commercial Services,0.2148281,0.0767957,0.0352939,0.0207345
23,2018-08-07,1370519.0,82.14,24.6464,1.06879744966,17771.53,239.143314,NYSE,Pharmaceuticals,0.1502399,0.1091219,0.0408803,0.0169754
24,2018-08-07,55727.5,6.28,40.0768,0.0857605898168,85.95,1211.40211575,NASDAQ,Investment Companies,0.082631,0.0638642857143,0.0469955,0.0516167142857
25,2018-08-07,535878.0,14.7,56.9344,1.27150662369,695.39,1041.8509905,NASDAQ,Biotechnology,0.1021915,0.0727947,0.0534051,0.05
26,2018-08-07,26499395.0,5.13,27.3216,1.1084436489,80654.62,126123.669845,NYSE,Beverages,0.01,0.01,0.01,0.01
27,2018-08-07,217632.0,74.05,29.8752,1.1605278621,1507.13,230.0383855,NYSE,Retail,0.4317681,0.1963581,0.1121628,0.0802878
28,2018-08-07,42401.0,2.84,140.224,1.27853554092,7.32,471.35663225,NASDAQ,Computers,0.140016666667,0.114921714286,0.0681671,0.0479921666667
29,2018-08-07,917291.5,0.7425,124.8512,-0.294337289296,10.34,2041.43694325,NASDAQ,Biotechnology,0.0151944285714,0.0121603333333,0.0067825,0.00874288888889
30,2018-08-07,828741.5,378.56,39.1552,1.54801851239,16988.7,163.987807,NASDAQ,Healthcare-Products,1.3913136,0.9835982,0.4636915,0.188429
31,2018-08-07,383444.5,31.4,21.632,0.698303754017,2064.3,316.86084675,NYSE,Commercial Services,0.092889,0.0476016,0.0144315,0.01
32,2018-08-07,1775.5,26.0,8.8128,-0.00653308674581,,761.16884075,NYSE,REITS,0.3745595,0.2103878,0.1817322,0.1413603
33,2018-08-07,1560.0,25.65,2.2336,-0.00409975204979,,819.0011845,NYSE,REITS,0.146210666667,0.126284428571,0.133341857143,0.103219
34,2018-08-07,919.0,26.5,6.3936,0.0173449612762,,225.9698355,NYSE,REITS,0.1488755,0.188571428571,0.170036714286,0.165644428571
35,2018-08-07,1017188.5,11.57,18.816,0.0217228480586,1117.91,2160.5875605,NYSE,REITS,0.0123071,0.0106416,0.01,0.01
36,2018-08-07,4152878.0,65.24,14.624,1.09604363412,114451.79,640.48566875,NYSE,Healthcare-Products,0.0209597,0.0115213,0.01,0.01
37,2018-08-07,20136.0,44.25,35.7248,0.420003107262,591.52,230.133012,NASDAQ,Banks,1.87080633333,0.8717465,0.3233385,0.2211319
38,2018-08-07,445656.5,28.6,19.6416,0.449763335208,2803.62,1003.0277275,NYSE,Diversified Finan Serv,0.1258699,0.0760096,0.0539886,0.05
39,2018-08-07,454669.0,9.45,92.064,1.36702206652,523.57,1500.3125455,NASDAQ,Biotechnology,0.1287825,0.0778278,0.0649992,0.0544426
40,2018-08-07,11691781.5,11.01,23.9744,0.448623910188,12847.6,20221.13403,NYSE,Mining,0.01,0.01,0.01,0.01
41,2018-08-07,1698652.0,13.91,54.0032,2.2117757787,1736.33,511.954091,NASDAQ,Biotechnology,0.0374437,0.0213448,0.0104285,0.01
42,2018-08-07,57442.0,17.95,28.3072,0.477247539689,462.41,427.61326225,NASDAQ,Banks,0.5936003,0.146110777778,0.0926774,0.0773208
43,2018-08-07,561273.0,12.95,28.0064,0.86142782694,1353.12,1829.945671,NYSE,Household Products/Wares,0.0758607,0.0541014,0.05,0.05
44,2018-08-07,697561.0,41.34,16.608,0.0818572996841,5664.77,263.96181525,NYSE,REITS,0.0747743,0.0485099,0.0155106,0.01
45,2018-08-07,6314.5,23.05,103.0144,-0.646052484894,231.72,274.42461725,NASDAQ,Biotechnology,1.357096,1.466852,0.9729661,1.338237
46,2018-08-07,763.5,25.835,15.8528,-0.207595879766,11.63,350.748341,BATS,,0.2522568,0.2018987,0.1476958,0.1387334
47,2018-08-07,161265.5,3.24,73.8752,1.29124816775,99.75,506.897024,NASDAQ,Chemicals,0.0559963,0.0250298,0.0136072,0.0101035
48,2018-08-07,15018.5,24.55,10.4256,0.0210795136675,,495.93517675,NASDAQ,Insurance,0.2522955,0.19815,0.0870993,0.105784666667
